SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_LONG_NAME_THIS_ENROL,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2013/2014,BC Public School,39,Vancouver,3939017,Sir Charles Tupper Secondary,Standard,"419 24TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5V2A2,604 713-8233,604 713-8232,49.24933,-123.09625,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,39,Vancouver,3939018,David Thompson Secondary,Standard,"1755 55TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5P1Z7,604 713-8278,604 713-8277,49.22089,-123.07055,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,39,Vancouver,3939019,Prince of Wales Secondary,Standard,"2250 EDDINGTON DR, VANCOUVER, BC",VANCOUVER,BC,V6L2E7,604 713-8974,604 713-8973,49.24547,-123.15728,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,39,Vancouver,3939020,Windermere Community Secondary,Standard,"3155 27TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5R1P3,604 713-8180,604 713-8179,49.24747,-123.03785,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,39,Vancouver,3939022,Eric Hamber Secondary,Standard,"5025 WILLOW ST, VANCOUVER, BC",VANCOUVER,BC,V5Z3S1,604 713-8927,604 713-8926,49.24022,-123.12575,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,39,Vancouver,3939024,University Hill Secondary,Standard,"3228 ROSS DR, VANCOUVER, BC",VANCOUVER,BC,V6S0C6,604 713-8258,604 713-8257,49.262,-123.235,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,39,Vancouver,3939028,Lord Strathcona Community Elementary,Standard,"592 PENDER ST E, VANCOUVER, BC",VANCOUVER,BC,V6A1V5,604 713-4630,604 713-4633,49.28021,-123.09165,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939030,Sir Guy Carleton Community Elementary,Standard,"3250 KINGSWAY, VANCOUVER, BC",VANCOUVER,BC,V5R5K5,604 713-4810,604 713-4812,49.23407,-123.03764,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939031,Lord Roberts Elementary,Standard,"1100 BIDWELL ST, VANCOUVER, BC",VANCOUVER,BC,V6G2K4,604 713-5055,604 713-5057,49.28677,-123.13792,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939032,Admiral Seymour Elementary,Standard,"1130 KEEFER ST, VANCOUVER, BC",VANCOUVER,BC,V6A1Z3,604 713-4641,604 713-4643,49.27868,-123.08028,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939033,Sir William Macdonald Community,Standard,"1950 HASTINGS ST E, VANCOUVER, BC",VANCOUVER,BC,V5L1T7,604 713-4696,604 713-4698,49.28062,-123.06432,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939035,David Lloyd George Elementary,Standard,"8370 CARTIER ST, VANCOUVER, BC",VANCOUVER,BC,V6P4T8,604 713-4895,604 713-4897,49.21023,-123.13635,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939037,General Brock Elementary,Standard,"4860 MAIN ST, VANCOUVER, BC",VANCOUVER,BC,V5V3R8,604 713-5245,604 713-5247,49.24154,-123.10038,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939038,Kerrisdale Elementary,Standard,"5555 CARNARVON ST, VANCOUVER, BC",VANCOUVER,BC,V6N1J2,604 713-5446,604 713-5448,49.23572,-123.17449,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939039,Lord Selkirk Elementary,Standard,"1750 22ND AVE E, VANCOUVER, BC",VANCOUVER,BC,V5N2P7,604 713-4650,604 713-4657,49.24968,-123.06878,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939040,Queen Alexandra Elementary,Standard,"1300 BROADWAY E, VANCOUVER, BC",VANCOUVER,BC,V5N1V6,604 713-4599,604 713-4679,49.26234,-123.07748,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939041,Queen Mary Elementary,Standard,"2000 TRIMBLE ST, VANCOUVER, BC",VANCOUVER,BC,V6R3Z4,604 713-5464,604 713-5466,49.26782,-123.20499,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939042,Simon Fraser Elementary,Standard,"100 15TH AVE W, VANCOUVER, BC",VANCOUVER,BC,V5Y3B7,604 713-4946,604 713-4948,49.25717,-123.10838,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939043,L'ecole Bilingue Elementary,Standard,"1166 14TH AVE W, VANCOUVER, BC",VANCOUVER,BC,V6H1P6,604 713-4585,604 713-4587,49.25832,-123.13036,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939044,Emily Carr Elementary,Standard,"4070 OAK ST, VANCOUVER, BC",VANCOUVER,BC,V6H2M8,604 713-4941,604 713-4943,49.24987,-123.12607,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939045,General Wolfe Elementary,Standard,"4251 ONTARIO ST, VANCOUVER, BC",VANCOUVER,BC,V5V3G8,604 713-4912,604 713-4914,49.24731,-123.10628,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939046,Lord Nelson Elementary,Standard,"2235 KITCHENER ST, VANCOUVER, BC",VANCOUVER,BC,V5L2W9,604 713-4595,604 713-4597,49.2725,-123.05941,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939047,Lord Tennyson Elementary,Standard,"1936 10TH AVE W, VANCOUVER, BC",VANCOUVER,BC,V6J2B2,604 713-5426,604 713-5428,49.26235,-123.14937,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939048,Sir Richard McBride Elementary,Standard,"1300 29TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5V2T3,604 713-4971,604 713-4973,49.24352,-123.07819,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939049,Sir Wilfred Grenfell Community,Standard,"3323 WELLINGTON AVE, VANCOUVER, BC",VANCOUVER,BC,V5R4Y3,604 713-4844,604 713-4846,49.24312,-123.03449,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939050,Tecumseh Elementary,Standard,"1850 41ST AVE E, VANCOUVER, BC",VANCOUVER,BC,V5P1K9,604 713-5390,604 713-5383,49.23151,-123.06778,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939051,Florence Nightingale Elementary,Standard,"2740 GUELPH ST, VANCOUVER, BC",VANCOUVER,BC,V5T3P7,604 713-5290,604 713-5292,49.26021,-123.09399,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939052,General Gordon Elementary,Standard,"2896 6TH AVE W, VANCOUVER, BC",VANCOUVER,BC,V6K1X1,604 713-5403,604 713-5405,49.26604,-123.17047,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939053,Henry Hudson Elementary,Standard,"1551 CYPRESS ST, VANCOUVER, BC",VANCOUVER,BC,V6J3L3,604 713-5441,604 713-5443,49.27204,-123.14866,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939054,Laura Secord Elementary,Standard,"2500 LAKEWOOD DR, VANCOUVER, BC",VANCOUVER,BC,V5N4V1,604 713-4996,604 713-4998,49.26174,-123.06074,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939056,Walter Moberly Elementary,Standard,"1000 59TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5X1Y7,604 713-4784,604 713-4786,49.21564,-123.0843,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939057,Pierre Elliott Trudeau Elementary,Standard,"449 62ND AVE E, VANCOUVER, BC",VANCOUVER,BC,V5X2G2,604 713-4865,604 713-4867,49.21457,-123.09609,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939058,Sir Wm Van Horne Elementary,Standard,"5855 ONTARIO ST, VANCOUVER, BC",VANCOUVER,BC,V5W2L8,604 713-4965,604 713-4967,49.23179,-123.10694,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939059,Charles Dickens Elementary,Standard,"1010 EAST 17TH AVE, VANCOUVER, BC",VANCOUVER,BC,V5V0A6,604 713-4978,604 713-4980,49.25485,-123.08239,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939060,David Livingstone Elementary,Standard,"315 23RD AVE E, VANCOUVER, BC",VANCOUVER,BC,V5V1X6,604 713-4985,604 713-4987,49.25067,-123.09768,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939061,Hastings Community Elementary,Standard,"2625 FRANKLIN ST, VANCOUVER, BC",VANCOUVER,BC,V5K3W7,604 713-5507,604 713-5509,49.28252,-123.05064,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939062,John Norquay Elementary,Standard,"4710 SLOCAN ST, VANCOUVER, BC",VANCOUVER,BC,V5R2A1,604 713-4666,604 713-4668,49.2415,-123.05113,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939063,J.W. Sexsmith Community Elementary,Standard,"7455 ONTARIO ST, VANCOUVER, BC",VANCOUVER,BC,V5X3C1,604 713-4901,604 713-4903,49.21723,-123.1062,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939064,Sir James Douglas Elementary,Standard,"2150 BRIGADOON AVE, VANCOUVER, BC",VANCOUVER,BC,V5P3Z7,604 713-4817,604 713-4819,49.21605,-123.06465,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939065,Sir John Franklin Community,Standard,"250S SKEENA ST, VANCOUVER, BC",VANCOUVER,BC,V5K4N8,604 713-4709,604 713-4711,49.28254,-123.02702,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939066,Sir Sandford Fleming Elementary,Standard,"1401 49TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5P1S2,604 713-4793,604 713-4795,49.22648,-123.07655,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939067,Bayview Community Elementary,Standard,"2251 COLLINGWOOD ST, VANCOUVER, BC",VANCOUVER,BC,V6R3L1,604 713-5433,604 713-5435,49.26644,-123.18274,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939069,Lord Beaconsfield Elementary,Standard,"3663 PENTICTON ST, VANCOUVER, BC",VANCOUVER,BC,V5M3C9,604 713-4605,604 713-4607,49.25197,-123.05268,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939070,Lord Kitchener Elementary,Standard,"3455 W KING EDWARD AVE, VANCOUVER, BC",VANCOUVER,BC,V6S0C7,604 713-5454,604 713-5457,49.25016,-123.18115,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939071,Edith Cavell Elementary,Standard,"500 20TH AVE W, VANCOUVER, BC",VANCOUVER,BC,V5Z1X7,604 713-4932,604 713-4934,49.25288,-123.11714,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939072,Shaughnessy Elementary,Standard,"4250 MARGUERITE ST, VANCOUVER, BC",VANCOUVER,BC,V6J4G3,604 713-5500,604 713-5503,49.24845,-123.1438,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939073,Sir Matthew Begbie Elementary,Standard,"1430 LILLOOET ST, VANCOUVER, BC",VANCOUVER,BC,V5K4H6,604 713-4686,604 713-4688,49.27181,-123.03766,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939074,Maple Grove Elementary,Standard,"6199 CYPRESS ST, VANCOUVER, BC",VANCOUVER,BC,V6M3S3,604 713-5356,604 713-5358,49.22984,-123.15021,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939075,Quilchena Elementary,Standard,"5300 MAPLE ST, VANCOUVER, BC",VANCOUVER,BC,V6M3T6,604 713-5420,604 713-5422,49.23824,-123.15191,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939076,Grandview Elementary,Standard,"2055 WOODLAND DR, VANCOUVER, BC",VANCOUVER,BC,V5N3N9,604 713-4663,604 713-4665,49.26641,-123.07361,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939077,Renfrew Community Elementary,Standard,"3315 22ND AVE E, VANCOUVER, BC",VANCOUVER,BC,V5M2Z2,604 713-4851,604 713-4854,49.25075,-123.03195,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939079,Sir Alexander Mackenzie Elementary,Standard,"960 39TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5W1K8,604 713-4799,604 713-4801,49.23469,-123.08631,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939080,Queen Elizabeth Elementary,Standard,"4102 16TH AVE W, VANCOUVER, BC",VANCOUVER,BC,V6R3E3,604 713-5408,604 713-5410,49.25717,-123.20093,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939082,Thunderbird Elementary,Standard,"2325 CASSIAR ST, VANCOUVER, BC",VANCOUVER,BC,V5M3X3,604 713-4611,604 713-4613,49.26352,-123.03106,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939084,Trafalgar Elementary,Standard,"4170 TRAFALGAR ST, VANCOUVER, BC",VANCOUVER,BC,V6L2M5,604 713-5475,604 713-5477,49.24939,-123.16527,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939085,Sir Wilfrid Laurier Elementary,Standard,"7350 LAUREL ST, VANCOUVER, BC",VANCOUVER,BC,V6P3T9,604 713-4925,604 713-4927,49.21821,-123.12499,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939086,Sir William Osler Elementary,Standard,"5970 SELKIRK ST, VANCOUVER, BC",VANCOUVER,BC,V6M2Y8,604 713-4920,604 713-4922,49.23101,-123.13263,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939087,Southlands Elementary,Standard,"5351 CAMOSUN ST, VANCOUVER, BC",VANCOUVER,BC,V6N2C4,604 713-5414,604 713-5416,49.23754,-123.1978,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939088,Captain James Cook Elementary,Standard,"3340 54TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5S1Z3,604 713-4828,604 713-4830,49.219,-123.03581,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939089,Chief Maquinna Elementary,Standard,"2684 2ND AVE E, VANCOUVER, BC",VANCOUVER,BC,V5M1C9,604 713-4705,604 713-4708,49.26803,-123.0508,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939090,David Oppenheimer Elementary,Standard,"2421 SCARBORO AVE, VANCOUVER, BC",VANCOUVER,BC,V5P2L5,604 713-4570,604 713-4572,49.21364,-123.05796,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939093,Sir Charles Kingsford-Smith,Standard,"6901 ELLIOTT ST, VANCOUVER, BC",VANCOUVER,BC,V5S2N1,604 713-4746,604 713-4750,49.22136,-123.05572,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939094,Carnarvon Community Elementary,Standard,"3400 BALACLAVA ST, VANCOUVER, BC",VANCOUVER,BC,V6L2S6,604 713-5396,604 713-5398,49.25661,-123.17434,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939095,Dr A R Lord Elementary,Standard,"555 LILLOOET ST, VANCOUVER, BC",VANCOUVER,BC,V5K4G4,604 713-4620,604 713-4622,49.27958,-123.03889,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939097,Dr R E McKechnie Elementary,Standard,"7455 MAPLE ST, VANCOUVER, BC",VANCOUVER,BC,V6P5P8,604 713-4952,604 713-4954,49.21763,-123.15355,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939099,Waverley Elementary,Standard,"6111 ELLIOTT ST, VANCOUVER, BC",VANCOUVER,BC,V5S2M1,604 713-4752,604 713-4755,49.2277,-123.05549,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939100,G T Cunningham Elementary,Standard,"2330 37TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5R2T3,604 713-4675,604 713-4677,49.23682,-123.05745,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939101,Nootka Community Elementary,Standard,"3375 NOOTKA ST, VANCOUVER, BC",VANCOUVER,BC,V5M3N2,604 713-4767,604 713-4769,49.25379,-123.04294,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939102,Tecumseh Annex,Standard,"1551 37TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5P1E4,604 713-4890,604 713-4892,49.23722,-123.0736,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939104,Dr Annie B Jamieson Elementary,Standard,"6350 TISDALL ST, VANCOUVER, BC",VANCOUVER,BC,V5Z3N4,604 713-5367,604 713-5369,49.22707,-123.12102,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939105,Dr George M Weir Elementary,Standard,"2900 44TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5R3A8,604 713-4771,604 713-4773,49.22977,-123.04445,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939106,John Henderson Elementary,Standard,"451 53RD AVE E, VANCOUVER, BC",VANCOUVER,BC,V5X1J3,604 713-4837,604 713-4839,49.22274,-123.09509,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939107,Queen Victoria Annex,Standard,"1850 3RD AVE E, VANCOUVER, BC",VANCOUVER,BC,V5N1H2,604 713-4694,604 713-4734,49.26718,-123.0665,ELEMENTARY,K-5,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939108,Sir Richard McBride Annex,Standard,"4750 ST CATHERINES ST, VANCOUVER, BC",VANCOUVER,BC,V5V4M7,604 713-5374,604 713-5376,49.24184,-123.08502,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939109,Graham Bruce Community Elementary,Standard,"3633 TANNER ST, VANCOUVER, BC",VANCOUVER,BC,V5R5P7,604 713-4778,604 713-4780,49.24231,-123.02541,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939110,Queen Elizabeth Annex,Standard,"4275 CROWN ST, VANCOUVER, BC",VANCOUVER,BC,V6S2K3,604 713-5482,604 713-5484,49.24898,-123.19511,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939112,Tillicum Community Annex,Standard,"2450 CAMBRIDGE ST, VANCOUVER, BC",VANCOUVER,BC,V5K1L2,604 713-4716,604 713-4718,49.28625,-123.05542,ELEMENTARY,K-4,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939113,Kerrisdale Annex,Standard,"3250 43RD AVE W, VANCOUVER, BC",VANCOUVER,BC,V6N4K3,604 713-5488,604 713-5490,49.23282,-123.17694,ELEMENTARY,K-2,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939114,Lord Selkirk Annex,Standard,"4444 DUMFRIES ST, VANCOUVER, BC",VANCOUVER,BC,V5N3T2,604 713-4735,604 713-4737,49.24531,-123.07279,ELEMENTARY,K-4,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939115,Dr H N MacCorkindale Elementary,Standard,"6100 BATTISON ST, VANCOUVER, BC",VANCOUVER,BC,V5S3M8,604 713-4775,604 713-4757,49.22769,-123.03049,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939117,Chief Maquinna Annex,Standard,"2882 4TH AVE E, VANCOUVER, BC",VANCOUVER,BC,V5M1K8,604 713-4729,604 713-4731,49.26625,-123.04494,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939118,John Henderson Annex,Standard,"801 E 54TH AVE, VANCOUVER, BC",VANCOUVER,BC,V5X1L8,604 713-4872,604 713-4873,49.22097,-123.08799,ELEMENTARY,K-5,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939119,Tyee Elementary,Standard,"3525 DUMPHRIES ST, VANCOUVER, BC",VANCOUVER,BC,V5N3S5,604 713-4723,604 713-4725,49.2532,-123.073,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939120,Sir James Douglas Annex,Standard,"7668 BORDEN ST, VANCOUVER, BC",VANCOUVER,BC,V5P3E1,604 713-4885,604 713-4887,49.21501,-123.07305,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939121,Garibaldi Annex,Standard,"1025 SLOCAN ST, VANCOUVER, BC",VANCOUVER,BC,V5K3Y2,604 713-4740,604 713-4742,49.27539,-123.05005,ELEMENTARY,K-4,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939122,Sir Wilfrid Laurier Annex,Standard,"590 65TH AVE W, VANCOUVER, BC",VANCOUVER,BC,V6P2P8,604 713-5380,604 713-5382,49.21091,-123.11947,ELEMENTARY,K-4,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939123,University Hill Elementary,Standard,"5395 CHANCELLOR BLVD, VANCOUVER, BC",VANCOUVER,BC,V6T1E2,604 713-5350,604 713-5353,49.27306,-123.23744,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939124,Charles Dickens Annex,Standard,"3877 GLEN DR, VANCOUVER, BC",VANCOUVER,BC,V5V4S9,604 713-5392,604 713-5394,49.25021,-123.08285,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939127,Mount Pleasant Elementary,Standard,"2300 GUELPH ST, VANCOUVER, BC",VANCOUVER,BC,V5T3P1,604 713-4617,604 713-4627,49.26404,-123.09404,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939128,Champlain Heights Community Elementary,Standard,"6955 FRONTENAC ST, VANCOUVER, BC",VANCOUVER,BC,V5S3T4,604 713-4760,604 713-4762,49.22036,-123.02779,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939129,Lord Roberts Annex,Standard,"1150 NELSON ST, VANCOUVER, BC",VANCOUVER,BC,V6E1J2,604 713-5495,604 713-5497,49.28314,-123.12974,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939130,Britannia Community Elementary,Standard,"1110 COTTON DR, VANCOUVER, BC",VANCOUVER,BC,V5L3T5,604 713-4497,604 713-4603,49.27441,-123.07114,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939132,Ecole Jules Quesnel Elementary,Standard,"3050 CROWN ST, VANCOUVER, BC",VANCOUVER,BC,V6R4K9,604 713-4577,604 713-4579,49.25902,-123.19258,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939136,False Creek Elementary,Standard,"900 SCHOOL GREEN, VANCOUVER, BC",VANCOUVER,BC,V6H3N7,604 713-4959,604 713-4961,49.2671,-123.12668,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939137,Champlain Heights Annex,Standard,"7835 CHAMPLAIN CRES, VANCOUVER, BC",VANCOUVER,BC,V5S4J6,604 713-4880,604 713-4882,49.21407,-123.03066,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939139,Collingwood Neighbourhood School,Standard,"3417 EUCLID AVE, VANCOUVER, BC",VANCOUVER,BC,V5R6H2,604 713-5340,604 713-5339,49.2364,-123.03224,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939140,Elsie Roy Elementary,Standard,"150 DRAKE ST, VANCOUVER, BC",VANCOUVER,BC,V6Z2X1,604 713-5890,604 713-5892,49.27215,-123.12261,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3939141,Norma Rose Point School,Standard,"4102 16TH AVE W, VANCOUVER, BC",VANCOUVER,BC,V6R3E3,604 713-5950,604 713-5952,49.25717,-123.20093,ELEMENTARY,K-6,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3995051,University Transition Program,Long Term Prp,"2896 ACADIA RD, VANCOUVER, BC",VANCOUVER,BC,V6T1S2,604 713-8258,604 713-8257,49.26172,-123.2344,SENIOR SECONDARY,12-Nov,FALSE,TRUE
2013/2014,BC Public School,39,Vancouver,3998004,Vancouver Learning Network,District Distance Ed,"530 41ST AVE E, VANCOUVER, BC",VANCOUVER,BC,V5W1P3,604 713-5520,604 713-5528,49.23198,-123.09268,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,39,Vancouver,3999214,SD 39 DL Elementary,District Distance Ed,"1025 SLOCAN ST, VANCOUVER, BC",VANCOUVER,BC,V5K3Y2,604 713-4740,604 713-4742,49.27539,-123.05005,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,39,Vancouver,3999224,Vancouver Alternate,Alternate,"1580 BROADWAY W, VANCOUVER, BC",VANCOUVER,BC,V6J5K8,604 713-5943,604 713-5244,49.2633,-123.14026,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,40,New Westminster,4040000,Continuing Ed SD 40,Continuing Ed,"1001 COLUMBIA ST, NEW WESTMINSTER, BC",NEW WESTMINSTER,BC,V3M1C4,604 312-7800,604 517-6169,49.20018,-122.91544,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,40,New Westminster,4040001,Lord Kelvin Elementary,Standard,"1010 HAMILTON ST, NEW WESTMINSTER, BC",NEW WESTMINSTER,BC,V3M2M9,604 517-6060,604 517-6061,49.21131,-122.93018,ELEMENTARY,K-7,TRUE,FALSE
