SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_LONG_NAME_THIS_ENROL,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2013/2014,BC Public School,6,Rocky Mountain,618006,Field Elementary,Standard,"201 KICKING HORSE RD, FIELD, BC",FIELD,BC,V0A1G0,250 343-6416,250 343-6455,51.39691,-116.48669,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,618007,Nicholson Elementary,Standard,"737 NICHOLSON FRONTAGE RD, GOLDEN, BC",GOLDEN,BC,V0A1H0,250 344-2370,250 344-2318,51.2473,-116.91,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,618008,Alexander Park Elementary,Standard,"1000  14TH AVE, GOLDEN, BC",GOLDEN,BC,V0A1H0,250 344-5513,250 344-6646,51.2919,-116.963,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,699069,Golden Alternate School,Alternate,"1019 15TH ST SOUTH, GOLDEN, BC",GOLDEN,BC,V0A1H0,250 344-2201,Null,51.2907,-116.96167,SECONDARY,12-Oct,FALSE,TRUE
2013/2014,BC Public School,6,Rocky Mountain,699086,Kimberley Alternate School,Alternate,"570 MARK ST, KIMBERLEY, BC",KIMBERLEY,BC,V1A2B8,250 427-5371,250 427-5371,49.68195,-115.98032,SECONDARY,12-Sep,FALSE,TRUE
2013/2014,BC Public School,6,Rocky Mountain,699127,Open Doors Alternate Education,Alternate,"214 - 7TH AVE, INVERMERE, BC",INVERMERE,BC,V0A1K0,250 342-3060,250 342-7298,51.293,-116.967,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,6,Rocky Mountain,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,"1850 WARREN AVE, KIMBERLEY, BC",KIMBERLEY,BC,V1A1S1,250 427-5308,250 427-2071,49.67113,-115.97979,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,807004,Hume Elementary School,Standard,"310 NELSON AVE, NELSON, BC",NELSON,BC,V1L2M8,250 352-3186,250 352-3183,49.50008,-117.27936,ELEMENTARY,K-5,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,807005,Trafalgar Middle School,Standard,"1201 JOSEPHINE ST, NELSON, BC",NELSON,BC,V1L1X8,250 352-5591,250 352-6522,49.48716,-117.28784,MIDDLE SCHOOL,08-Jun,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,807011,Salmo Elementary School,Standard,"650 GLENDALE AVE, SALMO, BC",SALMO,BC,V0G1Z0,250 357-2214,250 357-9449,49.1897,-117.27499,ELEMENTARY,K-6,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,807012,Salmo Secondary,Standard,"715 DAVIES AVE, SALMO, BC",SALMO,BC,V0G1Z0,250 357-2226,250 357-9777,49.19105,-117.28143,ELEMENTARY SECONDARY,12-Jul,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,807013,L V Rogers Secondary,Standard,"1004 COTTONWOOD ST, NELSON, BC",NELSON,BC,V1L3W2,250 352-5538,250 352-3119,49.50223,-117.27263,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,807014,South Nelson Elementary,Standard,"814 LATIMER ST, NELSON, BC",NELSON,BC,V1L4V7,250 354-4139,250 354-4407,49.48976,-117.28629,ELEMENTARY,K-5,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,807016,Blewett Elementary School,Standard,"2665 BLEWETT RD, NELSON, BC",NELSON,BC,V1L6V4,250 352-5314,250 352-1648,49.4889,-117.37,ELEMENTARY,K-5,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,807018,Rosemont Elementary School,Standard,"1605 CREASE AVE, NELSON, BC",NELSON,BC,V1L1A5,250 352-3182,250 352-9761,49.48102,-117.30295,ELEMENTARY,K-5,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,807025,Mount Sentinel Secondary,Standard,"1014 PLAYMOR RD, SOUTH SLOCAN, BC",SOUTH SLOCAN,BC,V0G2G0,250 359-7219,250 359-7688,49.44594,-117.53581,ELEMENTARY SECONDARY,12-Jul,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,807026,W.E. Graham Community School,Standard,"915 HAROLD ST, SLOCAN, BC",SLOCAN,BC,V0G2C0,250 355-2212,250 355-2523,49.76393,-117.46969,ELEMENTARY JR SECONDARY,K-10,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,807033,Brent Kennedy Elementary,Standard,"1092 HIGHWAY 6, CRESCENT VALLEY, BC",CRESCENT VALLEY,BC,V0G2G0,250 359-7292,250 359-7522,49.4419,-117.54444,ELEMENTARY,K-6,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,807034,Winlaw Elementary School,Standard,"5604 WINLAW BRIDGE RD, WINLAW, BC",WINLAW,BC,V0G2J0,250 226-7217,250 226-7210,49.61332,-117.56749,ELEMENTARY,K-6,TRUE,FALSE
