Institution,Location,Institution Type,Economic Development Region,City,Address,Location Description,Latitude,Longitude
Pacific Life Bible College,Pacific Life Bible College Campus,B.C. Private Degree Granting,Mainland/Southwest,Surrey,15030 66A Ave,Campus,49.1228185,-122.8081647
Quest University Canada,Quest Squamish Campus,B.C. Private Degree Granting,Mainland/Southwest,Squamish,3200 University Boulevard,Campus,49.7381947,-123.1026008
Regent College - Vancouver,Regent College Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,5800 University Boulevard,Campus,49.2656764,-123.2462673
Saint Mark's College,Saint Mark's College Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,5935 Iona Drive,Campus,49.2721637,-123.2511676
Seminary of Christ the King,Seminary of Christ the King Campus,B.C. Private Degree Granting,Mainland/Southwest,Mission,34224 Dewdney Trunk Rd,Campus,49.154375,-122.270434
Summit Pacific College,Summit Pacific College Campus,B.C. Private Degree Granting,Mainland/Southwest,Abbotsford,35235 Straiton Road,Campus,49.0861963,-122.2820278
Trinity Western University,TWU Main Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.139892,-122.600335
University Canada West,UCW Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,#100 626 West Pender Street,Campus,49.2842201,-123.1496037
Vancouver School of Theology,Vancouver School of Theology Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,6015 Walter Gage Road,Campus,49.270215,-123.250999
Yorkville University,Yorkville Campus,B.C. Private Degree Granting,Mainland/Southwest,Burnaby,"Metrotower II - 4720 Kingsway, Suite 2600",Campus,49.226713,-122.994192
