Geo_Code,CSD_Name,CD_Name,CSD_type,Couple-only Median family income ($),"Household total income Under $5,000","Household total income $10,000 to $14,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $15,000 to $19,999","Household total income $150,000 and over","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $5,000 to $9,999","Household total income $50,000 to $59,999","Household total $60,000 to $79,999","Household total income $80,000 to $99,999",% of owner households spending 30% or more of household total income on shelter costs,% of owner households with a mortgage,Couple-only economic families,Couple-with-children economic families,Lone-parent economic families,Economic families Median family income ($),Private households Median household total income ($),Individuals Median income ($),Not in economic family Median total income ($),Median value of dwellings ($),Spending 30% or more of household total income on shelter costs, Spending less than 30% of household total income on shelter costs,Spending 30% to less than 100% of household total income on shelter costs,Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($), % of tenant households in subsidized housing,% of tenant households spending 30% or more of household total income on shelter costs
5907801,Lower Similkameen 2,Okanagan-Similkameen,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5907802,Osoyoos 1,Okanagan-Similkameen,Indian reserve,45443,10,15,0,15,20,0,65,35,40,0,25,35,10,0,0,75,35,35,46543,37405,22188,26293,0,0,0,0,0,0,0,0
5907803,Penticton 1,Okanagan-Similkameen,Indian reserve,49385,25,30,20,0,50,15,150,155,75,25,80,85,50,0,0,300,95,95,44998,36887,20054,22935,0,0,0,0,0,0,0,0
5907805,Chopaka 7 & 8,Okanagan-Similkameen,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5907807,Chuchuwayha 2,Okanagan-Similkameen,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5907809,Ashnola 10,Okanagan-Similkameen,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909009,Hope,Fraser Valley,District municipality,55232,65,125,110,85,195,115,360,345,255,105,340,270,270,18,45.8,870,515,300,55200,44138,20578,19949,285658,670,1955,570,485,701,6.5,50
5909014,Fraser Valley A,Fraser Valley,Regional district electoral area,41413,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,10,16.7,105,20,0,41820,41220,17898,19972,110048,50,175,45,294,649,37.5,43.8
5909020,Chilliwack,Fraser Valley,City,61668,880,1095,2760,1605,2130,1820,2820,3335,2780,445,2565,4665,3565,22.4,62.3,8465,9370,3240,69480,56513,27092,22234,341274,8895,21025,7605,1064,800,13.7,51.1
5909027,Harrison Hot Springs,Fraser Valley,Village,63160,0,0,65,45,40,20,60,80,100,0,60,85,70,25.7,57.5,250,175,40,64996,50670,26663,21288,349743,205,460,175,966,832,0,52.4
5909032,Kent,Fraser Valley,District municipality,72148,100,100,165,80,145,100,185,170,175,90,115,380,250,21.2,55.3,715,485,155,71560,57348,26019,19932,324838,575,1375,385,838,650,29,67.1
5909034,Fraser Valley D,Fraser Valley,Regional district electoral area,73049,0,0,75,0,0,15,0,100,10,0,60,100,75,22.8,49.5,165,180,0,72114,71879,28398,56719,429930,110,365,90,565,758,0,0
5909036,Fraser Valley E,Fraser Valley,Regional district electoral area,53089,60,0,110,40,70,105,180,165,150,40,140,245,130,24.3,46.4,525,335,100,61150,53045,25021,28062,376164,330,1030,230,478,1002,0,25
5909052,Abbotsford,Fraser Valley,City,64981,1195,1450,4900,2860,2230,4435,3940,4630,4475,680,3600,6680,5380,24,64,11850,17065,4270,75807,62350,26428,26443,393600,12695,32675,10540,1204,801,9.4,39.2
5909056,Mission,Fraser Valley,District municipality,64698,215,370,1430,950,650,910,1130,1145,1015,270,925,1890,1885,30.5,70.3,3125,4695,1550,78975,65411,27750,25549,399607,4225,8485,3575,1453,751,16,44.1
5909060,Fraser Valley F,Fraser Valley,Regional district electoral area,73217,0,0,30,10,20,0,20,30,35,0,60,215,55,14.6,56.1,230,125,20,73594,73391,33048,25491,500500,75,410,70,653,1770,0,14.3
5909804,Chawathil 4,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909807,Ohamil 1,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909812,Schkam 2,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909819,Kahmoose 4,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909821,Kwawkwawapilt 6,Fraser Valley,Indian reserve,55894,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,0,0,115,10,0,53993,35093,21719,18023,0,0,0,0,0,0,0,0
5909824,Skwah 4,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909826,Skway 5,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909827,Soowahlie 14,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
