Geo_Code,Prov_Name,CD_Name,CSD_Name,2010 Internal-Interprovincial migrants,2010 Internal-Intraprovincial migrants,2010 External migrants,2010 Internal migrants,2010 Movers-Migrants,2010 Movers-Non-migrants,2010 Movers,2010 Non-movers
5941016,British Columbia,Cariboo,Cariboo H,0,35,0,75,75,45,130,1415
5941017,British Columbia,Cariboo,Cariboo L,20,190,0,215,225,85,305,3845
5941019,British Columbia,Cariboo,Cariboo A,35,140,0,180,180,505,680,5505
5941021,British Columbia,Cariboo,Cariboo B,0,255,0,265,265,245,510,3480
5941025,British Columbia,Cariboo,Wells,0,0,0,0,0,65,75,180
5941026,British Columbia,Cariboo,Cariboo C,0,30,0,30,30,145,175,1015
5941027,British Columbia,Cariboo,Cariboo I,0,135,0,135,140,45,185,1250
5941039,British Columbia,Cariboo,Cariboo J,0,0,65,25,85,0,105,485
5941801,British Columbia,Cariboo,Alkali Lake 1,0,10,0,10,15,45,55,295
5941802,British Columbia,Cariboo,Canim Lake 1,0,10,0,10,10,20,35,185
5941805,British Columbia,Cariboo,Deep Creek 2,0,0,0,10,10,0,15,95
5941806,British Columbia,Cariboo,Dog Creek 1,0,10,0,15,15,0,15,65
5941808,British Columbia,Cariboo,Lohbiee 3,0,0,0,0,0,0,0,115
5941809,British Columbia,Cariboo,Quesnel 1,0,0,0,0,0,0,10,75
5941812,British Columbia,Cariboo,Williams Lake 1,0,20,0,25,25,10,30,190
5941821,British Columbia,Cariboo,Anahim's Flat 1,0,10,0,15,10,10,15,450
5941828,British Columbia,Cariboo,Chilco Lake 1,0,0,0,0,0,0,0,40
5941837,British Columbia,Cariboo,Nazco 20,0,0,0,0,0,0,0,120
5941839,British Columbia,Cariboo,Redstone Flat 1,0,0,0,0,0,10,10,175
5941840,British Columbia,Cariboo,Squinas 2,0,0,0,0,0,0,10,155
5941841,British Columbia,Cariboo,Stone 1,0,0,0,0,0,10,10,190
5941850,British Columbia,Cariboo,Toosey 1,0,0,0,0,0,0,0,110
5941880,British Columbia,Cariboo,Ulkatcho 14A,0,15,0,20,20,10,25,110
5941882,British Columbia,Cariboo,Alexandria,0,0,0,0,0,0,10,50
5943008,British Columbia,Mount Waddington,Alert Bay,0,10,20,10,30,50,85,350
5943012,British Columbia,Mount Waddington,Port McNeill,15,140,0,155,185,180,355,2245
5943023,British Columbia,Mount Waddington,Port Hardy,20,190,0,215,225,450,680,3225
5943027,British Columbia,Mount Waddington,Mount Waddington B,0,0,0,10,15,0,10,45
5943033,British Columbia,Mount Waddington,Mount Waddington D,0,0,0,10,10,0,20,130
5943037,British Columbia,Mount Waddington,Mount Waddington A,0,40,0,40,40,45,85,870
5943804,British Columbia,Mount Waddington,Fort Rupert 1,0,0,0,0,0,0,10,45
5943806,British Columbia,Mount Waddington,Tsulquate 4,0,15,0,15,20,35,55,425
5943808,British Columbia,Mount Waddington,Gwayasdums 1,0,0,0,0,0,0,0,45
5943813,British Columbia,Mount Waddington,Quaee 7,0,25,0,25,25,0,25,65
5943815,British Columbia,Mount Waddington,Kippase 2,0,10,0,10,10,0,15,195
5943816,British Columbia,Mount Waddington,Quatsino Subdivision 18,0,15,0,15,15,35,55,160
5943837,British Columbia,Mount Waddington,Alert Bay,0,20,0,20,20,0,30,490
5945012,British Columbia,Central Coast,Central Coast D,0,25,0,25,25,0,35,345
5945801,British Columbia,Central Coast,Bella Bella 1,10,35,0,40,40,55,95,985
5945802,British Columbia,Central Coast,Bella Coola 1,10,20,0,30,25,50,80,755
5945803,British Columbia,Central Coast,Katit 1,0,0,0,0,0,0,10,50
5947012,British Columbia,Skeena-Queen Charlotte,Prince Rupert,155,370,20,525,545,1320,1865,10310
5947803,British Columbia,Skeena-Queen Charlotte,Masset 1,0,20,0,25,25,35,60,555
5947804,British Columbia,Skeena-Queen Charlotte,Skidegate 1,0,20,0,25,20,35,50,645
5947807,British Columbia,Skeena-Queen Charlotte,Dolphin Island 1,0,20,0,25,25,70,90,385
5949005,British Columbia,Kitimat-Stikine,Kitimat,195,325,25,515,540,600,1135,7130
5949011,British Columbia,Kitimat-Stikine,Terrace,105,375,65,475,540,1365,1905,9250
5949013,British Columbia,Kitimat-Stikine,Kitimat-Stikine C (Part 1),50,200,65,255,315,90,405,2145
5949018,British Columbia,Kitimat-Stikine,Kitimat-Stikine E,20,105,0,120,120,395,520,3400
5949022,British Columbia,Kitimat-Stikine,Hazelton,25,30,0,55,55,0,65,170
5949024,British Columbia,Kitimat-Stikine,New Hazelton,0,85,0,85,85,35,120,500
5949028,British Columbia,Kitimat-Stikine,Kitimat-Stikine B,0,85,0,85,90,40,130,1415
5949802,British Columbia,Kitimat-Stikine,Kitasoo 1,0,0,0,10,10,10,15,290
5949803,British Columbia,Kitimat-Stikine,Kitamaat 2,0,50,0,50,55,10,65,445
5949807,British Columbia,Kitimat-Stikine,Kulspai 6,0,0,0,0,0,0,10,75
5949810,British Columbia,Kitimat-Stikine,Coryatsaqua (Moricetown) 2,0,15,0,10,10,10,20,65
5949811,British Columbia,Kitimat-Stikine,Hagwilget 1,0,0,0,10,10,0,10,215
5949812,British Columbia,Kitimat-Stikine,Gitanmaax 1,0,0,0,10,10,35,40,575
5949813,British Columbia,Kitimat-Stikine,Kispiox 1,0,15,0,20,20,35,55,475
5949816,British Columbia,Kitimat-Stikine,Gitwangak 1,0,20,0,15,20,20,40,450
5949817,British Columbia,Kitimat-Stikine,Moricetown 1,0,0,0,0,0,10,0,260
5949818,British Columbia,Kitimat-Stikine,Sik-e-dakh 2,0,0,0,0,10,0,10,210
5949819,British Columbia,Kitimat-Stikine,Babine 17,0,0,0,0,0,0,0,170
5949832,British Columbia,Kitimat-Stikine,Iskut 6,0,0,0,0,0,0,0,200
5949843,British Columbia,Kitimat-Stikine,Guhthe Tah 12,0,0,0,0,0,0,10,155
5949844,British Columbia,Kitimat-Stikine,Kitselas 1,0,50,0,50,50,20,70,145
5949845,British Columbia,Kitimat-Stikine,Dease Lake 9,0,0,0,0,0,0,0,50
5951007,British Columbia,Bulkley-Nechako,Vanderhoof,0,225,0,235,240,485,730,3595
5951009,British Columbia,Bulkley-Nechako,Fraser Lake,0,130,0,145,140,65,210,885
5951013,British Columbia,Bulkley-Nechako,Fort St. James,25,170,0,195,195,135,330,1285
5951015,British Columbia,Bulkley-Nechako,Bulkley-Nechako C,0,65,0,60,65,30,95,1370
5951022,British Columbia,Bulkley-Nechako,Burns Lake,0,70,0,80,75,235,315,1630
5951028,British Columbia,Bulkley-Nechako,Bulkley-Nechako B,0,0,0,30,35,230,265,1825
5951031,British Columbia,Bulkley-Nechako,Bulkley-Nechako E,0,50,0,60,60,95,155,1325
5951032,British Columbia,Bulkley-Nechako,Granisle,0,0,0,0,0,0,0,285
5951034,British Columbia,Bulkley-Nechako,Houston,0,95,0,95,95,140,235,2840
5951038,British Columbia,Bulkley-Nechako,Telkwa,20,125,35,150,180,70,250,1115
5951043,British Columbia,Bulkley-Nechako,Smithers,125,205,0,335,355,560,910,4365
5951051,British Columbia,Bulkley-Nechako,Bulkley-Nechako A,75,170,0,245,250,100,355,4885
5951053,British Columbia,Bulkley-Nechako,Bulkley-Nechako G,0,25,0,25,25,0,40,935
5951801,British Columbia,Bulkley-Nechako,Ye Koo Che 3,0,10,0,10,10,0,10,85
5951802,British Columbia,Bulkley-Nechako,Nautley (Fort Fraser) 1,0,10,0,0,0,0,10,195
5951803,British Columbia,Bulkley-Nechako,Nak'azdli (Necoslie 1),0,15,0,20,20,30,50,475
5951805,British Columbia,Bulkley-Nechako,Binche 2 (Pinchie 2),0,20,0,20,15,0,15,90
5951807,British Columbia,Bulkley-Nechako,Stellaquo (Stella) 1,0,15,0,20,15,10,20,185
5951809,British Columbia,Bulkley-Nechako,Stony Creek 1,0,30,0,30,30,15,45,310
5951810,British Columbia,Bulkley-Nechako,Tache 1,0,10,0,10,10,0,10,450
5951815,British Columbia,Bulkley-Nechako,Burns Lake 18,0,0,0,0,0,0,0,60
5951818,British Columbia,Bulkley-Nechako,Cheslatta 1,0,0,0,0,0,0,0,75
5951827,British Columbia,Bulkley-Nechako,Woyenne 27,0,10,0,10,10,0,15,270
5951828,British Columbia,Bulkley-Nechako,Babine  6,0,0,0,10,10,20,20,65
5951829,British Columbia,Bulkley-Nechako,Babine 25,0,10,0,10,10,10,20,65
5951848,British Columbia,Bulkley-Nechako,North Tacla Lake,0,10,0,10,0,25,25,140
5953007,British Columbia,Fraser-Fort George,Valemount,0,30,0,50,50,100,145,800
5953012,British Columbia,Fraser-Fort George,McBride,0,0,0,70,70,70,135,425
5953019,British Columbia,Fraser-Fort George,Fraser-Fort George H,0,120,0,135,145,125,270,1380
5953023,British Columbia,Fraser-Fort George,Prince George,740,2335,285,3075,3360,7560,10920,58930
5953033,British Columbia,Fraser-Fort George,Mackenzie,0,375,0,385,385,335,725,2790
5953038,British Columbia,Fraser-Fort George,Fraser-Fort George A,0,60,0,60,60,170,235,3010
5953042,British Columbia,Fraser-Fort George,Fraser-Fort George C,15,30,0,45,50,210,255,3165
5953044,British Columbia,Fraser-Fort George,Fraser-Fort George D,45,20,0,60,65,180,240,3905
5953048,British Columbia,Fraser-Fort George,Fraser-Fort George F,45,0,0,50,45,20,70,1090
5953802,British Columbia,Fraser-Fort George,McLeod Lake 1,0,0,0,0,0,0,10,65
5955003,British Columbia,Peace River,Tumbler Ridge,175,180,0,355,355,180,530,2245
5955010,British Columbia,Peace River,Chetwynd,55,190,0,250,250,435,685,1885
5955014,British Columbia,Peace River,Dawson Creek,275,500,35,780,815,1125,1940,9135
5955021,British Columbia,Peace River,Peace River D,80,120,0,190,195,220,415,4705
5955025,British Columbia,Peace River,Hudson's Hope,0,0,0,25,20,20,45,915
5955030,British Columbia,Peace River,Taylor,20,170,0,190,190,25,215,1165
5955034,British Columbia,Peace River,Fort St. John,410,1080,65,1490,1555,2540,4100,14020
5955040,British Columbia,Peace River,Peace River B,30,155,0,185,195,165,360,4650
5955042,British Columbia,Peace River,Peace River C,30,400,0,430,435,520,950,5360
5955801,British Columbia,Peace River,East Moberly Lake 169,0,10,0,0,10,10,20,295
5955802,British Columbia,Peace River,West Moberly Lake 168A,0,0,0,10,10,0,10,60
5955803,British Columbia,Peace River,Blueberry River 205,0,10,0,15,15,0,25,185
5955807,British Columbia,Peace River,Fort Ware 1,0,0,0,0,0,20,15,230
5955808,British Columbia,Peace River,Halfway River 168,0,0,0,0,0,20,15,140
5955812,British Columbia,Peace River,Ingenika Point,0,0,0,0,0,10,10,90
5957803,British Columbia,Stikine,Five Mile Point  3,0,0,0,0,0,0,0,45
5957813,British Columbia,Stikine,Lower Post,0,0,0,0,0,0,10,90
5957814,British Columbia,Stikine,Liard River 3,0,0,0,0,0,0,0,65
5959007,British Columbia,Northern Rockies,Northern Rockies,25,65,0,85,90,390,480,4375
5959806,British Columbia,Northern Rockies,Fort Nelson 2,0,15,0,20,20,10,30,410
5959810,British Columbia,Northern Rockies,Prophet River 4,0,10,0,10,10,0,10,120
