Geo_Code,CD_Name,CSD_Name,CSD_type,"Median income ($), individuals"
5909826,Fraser Valley,Skway 5,Indian reserve,Null
5909827,Fraser Valley,Soowahlie 14,Indian reserve,Null
5909830,Fraser Valley,Tzeachten 13,Indian reserve,22328
5909832,Fraser Valley,Seabird Island,Indian reserve,16565
5909837,Fraser Valley,Cheam 1,Indian reserve,Null
5909839,Fraser Valley,Chehalis 5,Indian reserve,15276
5909841,Fraser Valley,Stullawheets 8,Indian reserve,Null
5909845,Fraser Valley,Skookumchuck 4,Indian reserve,Null
5909875,Fraser Valley,Q'alatkÅ“7em,Indian reserve,Null
5909877,Fraser Valley,Upper Sumas 6,Indian reserve,Null
5909878,Fraser Valley,Matsqui Main 2,Indian reserve,Null
5909879,Fraser Valley,Holachten 8,Indian reserve,19372
5909880,Fraser Valley,Lakahahmen 11,Indian reserve,Null
5909881,Fraser Valley,Skweahm 10,Indian reserve,23434
5909882,Fraser Valley,Squawkum Creek 3,Indian reserve,Null
5909884,Fraser Valley,Skowkale,Indian reserve,20817
5909885,Fraser Valley,Squiaala,Indian reserve,Null
5915001,Greater Vancouver,Langley,District municipality,33749
5915002,Greater Vancouver,Langley,City,29267
5915004,Greater Vancouver,Surrey,City,26799
5915007,Greater Vancouver,White Rock,City,32789
5915011,Greater Vancouver,Delta,District municipality,33188
5915015,Greater Vancouver,Richmond,City,23694
5915020,Greater Vancouver,Greater Vancouver A,Regional district electoral area,16738
5915022,Greater Vancouver,Vancouver,City,27815
5915025,Greater Vancouver,Burnaby,City,25463
5915029,Greater Vancouver,New Westminster,City,31391
5915034,Greater Vancouver,Coquitlam,City,29112
5915036,Greater Vancouver,Belcarra,Village,58693
5915038,Greater Vancouver,Anmore,Village,47120
5915039,Greater Vancouver,Port Coquitlam,City,33623
5915043,Greater Vancouver,Port Moody,City,38151
5915046,Greater Vancouver,North Vancouver,District municipality,36832
5915051,Greater Vancouver,North Vancouver,City,34515
5915055,Greater Vancouver,West Vancouver,District municipality,36574
5915065,Greater Vancouver,Lions Bay,Village,43651
5915070,Greater Vancouver,Pitt Meadows,City,34549
5915075,Greater Vancouver,Maple Ridge,District municipality,32412
5915801,Greater Vancouver,Semiahmoo,Indian reserve,Null
5915802,Greater Vancouver,Tsawwassen,Indian reserve,29689
5915803,Greater Vancouver,Musqueam 2,Indian reserve,21197
5915806,Greater Vancouver,Burrard Inlet 3,Indian reserve,38405
5915807,Greater Vancouver,Mission 1,Indian reserve,12644
5915808,Greater Vancouver,Capilano 5,Indian reserve,18504
5915811,Greater Vancouver,Seymour Creek 2,Indian reserve,Null
5915816,Greater Vancouver,McMillan Island 6,Indian reserve,Null
5915825,Greater Vancouver,Matsqui 4,Indian reserve,19575
5915830,Greater Vancouver,Katzie 1,Indian reserve,Null
5917005,Capital,North Saanich,District municipality,36154
5917010,Capital,Sidney,Town,30947
5917015,Capital,Central Saanich,District municipality,38409
5917021,Capital,Saanich,District municipality,34013
5917027,Capital,Capital F,Regional district electoral area,27284
5917029,Capital,Capital G,Regional district electoral area,26200
5917030,Capital,Oak Bay,District municipality,39977
5917034,Capital,Victoria,City,30177
5917040,Capital,Esquimalt,District municipality,31720
5917041,Capital,Colwood,City,37689
5917042,Capital,Metchosin,District municipality,37274
5917044,Capital,Langford,City,35078
5917047,Capital,View Royal,Town,37038
5917049,Capital,Highlands,District municipality,42325
5917052,Capital,Sooke,District municipality,31015
5917054,Capital,Capital H (Part 1),Regional district electoral area,30071
5917801,Capital,Cole Bay 3,Indian reserve,11109
5917802,Capital,Union Bay 4,Indian reserve,Null
5917803,Capital,East Saanich 2,Indian reserve,24818
5917804,Capital,South Saanich 1,Indian reserve,14839
5917812,Capital,New Songhees 1A,Indian reserve,26161
5917815,Capital,Gordon River 2,Indian reserve,Null
5917819,Capital,T'Sou-ke,Indian reserve,Null
5919008,Cowichan Valley,North Cowichan,District municipality,28309
5919012,Cowichan Valley,Duncan,City,22189
5919013,Cowichan Valley,Cowichan Valley D,Regional district electoral area,34329
5919015,Cowichan Valley,Cowichan Valley G,Regional district electoral area,26170
5919016,Cowichan Valley,Lake Cowichan,Town,20749
5919017,Cowichan Valley,Cowichan Valley H,Regional district electoral area,26978
5919021,Cowichan Valley,Ladysmith,Town,30009
5919035,Cowichan Valley,Cowichan Valley I,Regional district electoral area,22436
5919043,Cowichan Valley,Cowichan Valley A,Regional district electoral area,32585
5919046,Cowichan Valley,Cowichan Valley B,Regional district electoral area,34294
5919049,Cowichan Valley,Cowichan Valley C,Regional district electoral area,33355
5919051,Cowichan Valley,Cowichan Valley E,Regional district electoral area,30456
5919801,Cowichan Valley,Halalt 2,Indian reserve,Null
5919802,Cowichan Valley,Squaw-hay-one 11,Indian reserve,Null
5919803,Cowichan Valley,Tsussie 6,Indian reserve,Null
5919804,Cowichan Valley,Chemainus 13,Indian reserve,10904
5919809,Cowichan Valley,Kuper Island 7,Indian reserve,7122
5919814,Cowichan Valley,Malachan 11,Indian reserve,Null
5919815,Cowichan Valley,Malahat 11,Indian reserve,Null
5919816,Cowichan Valley,Oyster Bay 12,Indian reserve,Null
5919822,Cowichan Valley,Cowichan,Indian reserve,12620
5921007,Nanaimo,Nanaimo,City,27620
5921008,Nanaimo,Lantzville,District municipality,34461
5921010,Nanaimo,Nanaimo A,Regional district electoral area,26984
5921014,Nanaimo,Nanaimo B,Regional district electoral area,27169
5921016,Nanaimo,Nanaimo C,Regional district electoral area,32027
5921018,Nanaimo,Parksville,City,27942
5921023,Nanaimo,Qualicum Beach,Town,28740
5921030,Nanaimo,Nanaimo E,Regional district electoral area,32076
5921032,Nanaimo,Nanaimo F,Regional district electoral area,26123
5921034,Nanaimo,Nanaimo G,Regional district electoral area,28871
5921036,Nanaimo,Nanaimo H,Regional district electoral area,24729
5921804,Nanaimo,Nanaimo Town 1,Indian reserve,15084
5921805,Nanaimo,Nanoose,Indian reserve,Null
5921806,Nanaimo,Qualicum,Indian reserve,Null
5921807,Nanaimo,Nanaimo River,Indian reserve,9550
5923008,Alberni-Clayoquot,Port Alberni,City,24888
5923033,Alberni-Clayoquot,Alberni-Clayoquot B,Regional district electoral area,25188
5923035,Alberni-Clayoquot,Alberni-Clayoquot D,Regional district electoral area,29448
5923037,Alberni-Clayoquot,Alberni-Clayoquot E,Regional district electoral area,26461
5923039,Alberni-Clayoquot,Alberni-Clayoquot F,Regional district electoral area,26544
5923801,Alberni-Clayoquot,Ahahswinis 1,Indian reserve,Null
5923803,Alberni-Clayoquot,Anacla 12,Indian reserve,Null
5923807,Alberni-Clayoquot,Ittatsoo 1,Indian reserve,Null
5923808,Alberni-Clayoquot,Marktosis 15,Indian reserve,16589
5923813,Alberni-Clayoquot,Opitsat 1,Indian reserve,Null
5923816,Alberni-Clayoquot,Tsahaheh 1,Indian reserve,17622
5923823,Alberni-Clayoquot,Esowista 3,Indian reserve,Null
5923824,Alberni-Clayoquot,Refuge Cove 6,Indian reserve,Null
5924029,Strathcona,Zeballos,Village,Null
5924034,Strathcona,Campbell River,City,28329
5924039,Strathcona,Sayward,Village,30703
5924042,Strathcona,Strathcona D (Oyster Bay - Buttle Lake),Regional district electoral area,31887
5924052,Strathcona,Strathcona B,Regional district electoral area,26303
5924054,Strathcona,Strathcona C,Regional district electoral area,27771
5924804,Strathcona,Campbell River 11,Indian reserve,22519
5924806,Strathcona,Houpsitas 6,Indian reserve,Null
5924812,Strathcona,Quinsam 12,Indian reserve,Null
5924817,Strathcona,Cape Mudge 10,Indian reserve,Null
5924820,Strathcona,Tork 7,Indian reserve,Null
5924835,Strathcona,Tsa Xana 18,Indian reserve,Null
5924836,Strathcona,Ehatis 11,Indian reserve,Null
5924840,Strathcona,Homalco 9,Indian reserve,Null
5926005,Comox Valley,Comox,Town,32193
5926010,Comox Valley,Courtenay,City,26383
5926014,Comox Valley,Cumberland,Village,27130
5926021,Comox Valley,Comox Valley A,Regional district electoral area,26107
5926022,Comox Valley,Comox Valley B (Lazo North),Regional district electoral area,28347
5926024,Comox Valley,Comox Valley C (Puntledge - Black Creek),Regional district electoral area,29966
5926801,Comox Valley,Comox 1,Indian reserve,Null
5927008,Powell River,Powell River,City,27362
5927012,Powell River,Powell River B,Regional district electoral area,24325
5927018,Powell River,Powell River D,Regional district electoral area,19530
5927020,Powell River,Powell River E,Regional district electoral area,16585
5927802,Powell River,Sliammon 1,Indian reserve,15110
5929005,Sunshine Coast,Gibsons,Town,28826
5929011,Sunshine Coast,Sechelt,District municipality,29560
5929018,Sunshine Coast,Sunshine Coast A,Regional district electoral area,29716
5929022,Sunshine Coast,Sunshine Coast B,Regional district electoral area,32783
5929024,Sunshine Coast,Sunshine Coast D,Regional district electoral area,24606
5929026,Sunshine Coast,Sunshine Coast E,Regional district electoral area,27838
5929028,Sunshine Coast,Sunshine Coast F,Regional district electoral area,31934
5929803,Sunshine Coast,Sechelt (Part),Indian government district,20046
5931006,Squamish-Lillooet,Squamish,District municipality,33799
5931020,Squamish-Lillooet,Whistler,District municipality,32432
5931026,Squamish-Lillooet,Lillooet,District municipality,20634
5931032,Squamish-Lillooet,Squamish-Lillooet A,Regional district electoral area,Null
5931034,Squamish-Lillooet,Squamish-Lillooet B,Regional district electoral area,20221
5931801,Squamish-Lillooet,Cheakamus 11,Indian reserve,Null
5931806,Squamish-Lillooet,Seaichem 16,Indian reserve,Null
5931807,Squamish-Lillooet,Stawamus 24,Indian reserve,Null
5931808,Squamish-Lillooet,Waiwakum 14,Indian reserve,Null
5931812,Squamish-Lillooet,Nesuch 3,Indian reserve,Null
5931813,Squamish-Lillooet,Bridge River 1,Indian reserve,Null
5931814,Squamish-Lillooet,Cayoosh Creek 1,Indian reserve,Null
5931815,Squamish-Lillooet,Chilhil 6,Indian reserve,Null
5931816,Squamish-Lillooet,Fountain  1,Indian reserve,Null
5931821,Squamish-Lillooet,Lillooet 1,Indian reserve,Null
5931823,Squamish-Lillooet,McCartney's Flat 4,Indian reserve,Null
5931829,Squamish-Lillooet,Pavilion 1,Indian reserve,Null
5931831,Squamish-Lillooet,Slosh 1,Indian reserve,Null
5931842,Squamish-Lillooet,Fountain  1B,Indian reserve,Null
5931843,Squamish-Lillooet,Mount Currie,Indian reserve,12814
5931844,Squamish-Lillooet,Nequatque,Indian reserve,15874
5933006,Thompson-Nicola,Merritt,City,30662
5933008,Thompson-Nicola,Thompson-Nicola M,Regional district electoral area,29434
5933019,Thompson-Nicola,Ashcroft,Village,26505
5933024,Thompson-Nicola,Cache Creek,Village,25328
5933035,Thompson-Nicola,Logan Lake,District municipality,23770
5933039,Thompson-Nicola,Thompson-Nicola J (Copper Desert Country),Regional district electoral area,30048
5933042,Thompson-Nicola,Kamloops,City,31380
5933044,Thompson-Nicola,Thompson-Nicola P (Rivers and the Peaks),Regional district electoral area,30404
5933045,Thompson-Nicola,Sun Peaks Mountain,Village,28489
5933054,Thompson-Nicola,Chase,Village,24218
5933067,Thompson-Nicola,Clearwater,District municipality,25240
5933068,Thompson-Nicola,Thompson-Nicola A (Wells Gray Country),Regional district electoral area,24385
5933801,Thompson-Nicola,Coldwater 1,Indian reserve,15686
5933802,Thompson-Nicola,Douglas Lake 3,Indian reserve,Null
5933805,Thompson-Nicola,Joeyaska 2,Indian reserve,Null
5933806,Thompson-Nicola,Nicola Lake 1,Indian reserve,Null
5933807,Thompson-Nicola,Nicola Mameet 1,Indian reserve,14390
5933808,Thompson-Nicola,Nooaitch 10,Indian reserve,Null
5933809,Thompson-Nicola,Paul's Basin 2,Indian reserve,Null
5933812,Thompson-Nicola,Bonaparte 3,Indian reserve,Null
5933814,Thompson-Nicola,Canoe Creek 1,Indian reserve,Null
5933817,Thompson-Nicola,Skeetchestn,Indian reserve,19724
5933825,Thompson-Nicola,Inklyuhkinatko 2,Indian reserve,Null
5933829,Thompson-Nicola,Klahkamich 17,Indian reserve,Null
5933832,Thompson-Nicola,Klickkumcheen 18,Indian reserve,Null
5933833,Thompson-Nicola,Inkluckcheen,Indian reserve,Null
5933836,Thompson-Nicola,Lower Hat Creek 2,Indian reserve,Null
5933838,Thompson-Nicola,Neskonlith,Indian reserve,Null
5933844,Thompson-Nicola,Ashcroft 4,Indian reserve,Null
5933849,Thompson-Nicola,Siska Flat,Indian reserve,Null
5933851,Thompson-Nicola,Nicomen 1,Indian reserve,Null
5933853,Thompson-Nicola,Nuuautin 2,Indian reserve,Null
5933859,Thompson-Nicola,Shackan 11,Indian reserve,Null
5933872,Thompson-Nicola,Marble Canyon 3,Indian reserve,Null
5933873,Thompson-Nicola,Stryen 9,Indian reserve,Null
5933877,Thompson-Nicola,Whispering Pines 4,Indian reserve,Null
5933880,Thompson-Nicola,Kamloops 1,Indian reserve,32829
5933884,Thompson-Nicola,Sahhaltkum 4,Indian reserve,17437
5933887,Thompson-Nicola,North Thompson 1,Indian reserve,Null
5933896,Thompson-Nicola,Nekliptum  1,Indian reserve,Null
5935010,Central Okanagan,Kelowna,City,29832
5935012,Central Okanagan,Central Okanagan,Regional district electoral area,32416
5935016,Central Okanagan,Lake Country,District municipality,29102
5935018,Central Okanagan,Peachland,District municipality,28691
5935020,Central Okanagan,Central Okanagan J,Regional district electoral area,27752
5935029,Central Okanagan,West Kelowna,District municipality,30704
5935802,Central Okanagan,Tsinstikeptum  9,Indian reserve,23597
5935803,Central Okanagan,Tsinstikeptum 10,Indian reserve,21004
5937010,North Okanagan,Coldstream,District municipality,33765
5937014,North Okanagan,Vernon,City,26862
5937017,North Okanagan,North Okanagan B,Regional district electoral area,27519
5937021,North Okanagan,North Okanagan C,Regional district electoral area,34616
5937022,North Okanagan,North Okanagan D,Regional district electoral area,25071
5937024,North Okanagan,Spallumcheen,District municipality,24283
5937028,North Okanagan,Armstrong,City,25190
5937033,North Okanagan,Enderby,City,22922
5937041,North Okanagan,North Okanagan F,Regional district electoral area,21705
5937801,North Okanagan,Okanagan (Part) 1,Indian reserve,22426
5937802,North Okanagan,Enderby 2,Indian reserve,17326
5937803,North Okanagan,Priest's Valley 6,Indian reserve,20950
5939019,Columbia-Shuswap,Revelstoke,City,29053
5939023,Columbia-Shuswap,Columbia-Shuswap B,Regional district electoral area,27661
5939032,Columbia-Shuswap,Salmon Arm,City,25050
5939037,Columbia-Shuswap,Columbia-Shuswap C,Regional district electoral area,24666
5939039,Columbia-Shuswap,Columbia-Shuswap D,Regional district electoral area,20503
5939043,Columbia-Shuswap,Columbia-Shuswap E,Regional district electoral area,15578
5939803,Columbia-Shuswap,North Bay 5,Indian reserve,Null
5939804,Columbia-Shuswap,Okanagan (Part) 1,Indian reserve,Null
5939805,Columbia-Shuswap,Quaaout 1,Indian reserve,Null
5939806,Columbia-Shuswap,Salmon River 1,Indian reserve,Null
5939808,Columbia-Shuswap,Switsemalph 3,Indian reserve,Null
5939811,Columbia-Shuswap,Switsemalph,Indian reserve,Null
5941009,Cariboo,Williams Lake,City,26999
5941010,Cariboo,Cariboo D,Regional district electoral area,35370
5941012,Cariboo,Cariboo E,Regional district electoral area,31024
5941013,Cariboo,Quesnel,City,24937
5941014,Cariboo,Cariboo F,Regional district electoral area,29685
5941015,Cariboo,Cariboo G,Regional district electoral area,29423
5941016,Cariboo,Cariboo H,Regional district electoral area,17251
5941017,Cariboo,Cariboo L,Regional district electoral area,21084
5941019,Cariboo,Cariboo A,Regional district electoral area,29302
5941021,Cariboo,Cariboo B,Regional district electoral area,29964
5941025,Cariboo,Wells,District municipality,23788
5941026,Cariboo,Cariboo C,Regional district electoral area,26410
5941027,Cariboo,Cariboo I,Regional district electoral area,24367
5941039,Cariboo,Cariboo J,Regional district electoral area,16448
5941801,Cariboo,Alkali Lake 1,Indian reserve,14638
5941802,Cariboo,Canim Lake 1,Indian reserve,Null
5941805,Cariboo,Deep Creek 2,Indian reserve,Null
5941806,Cariboo,Dog Creek 1,Indian reserve,Null
5941808,Cariboo,Lohbiee 3,Indian reserve,Null
5941809,Cariboo,Quesnel 1,Indian reserve,Null
5941812,Cariboo,Williams Lake 1,Indian reserve,Null
5941821,Cariboo,Anahim's Flat 1,Indian reserve,11431
5941828,Cariboo,Chilco Lake 1,Indian reserve,Null
5941837,Cariboo,Nazco 20,Indian reserve,Null
5941839,Cariboo,Redstone Flat 1,Indian reserve,Null
5941840,Cariboo,Squinas 2,Indian reserve,Null
5941841,Cariboo,Stone 1,Indian reserve,Null
5941850,Cariboo,Toosey 1,Indian reserve,Null
5941880,Cariboo,Ulkatcho 14A,Indian reserve,Null
5941882,Cariboo,Alexandria,Indian reserve,Null
5943008,Mount Waddington,Alert Bay,Village,32094
5943012,Mount Waddington,Port McNeill,Town,37381
5943023,Mount Waddington,Port Hardy,District municipality,30275
5943027,Mount Waddington,Mount Waddington B,Regional district electoral area,Null
5943033,Mount Waddington,Mount Waddington D,Regional district electoral area,Null
5943037,Mount Waddington,Mount Waddington A,Regional district electoral area,18675
5943804,Mount Waddington,Fort Rupert 1,Indian reserve,Null
5943806,Mount Waddington,Tsulquate 4,Indian reserve,14423
5943808,Mount Waddington,Gwayasdums 1,Indian reserve,Null
5943813,Mount Waddington,Quaee 7,Indian reserve,Null
5943815,Mount Waddington,Kippase 2,Indian reserve,Null
5943816,Mount Waddington,Quatsino Subdivision 18,Indian reserve,Null
5943837,Mount Waddington,Alert Bay,Indian reserve,15803
5945012,Central Coast,Central Coast D,Regional district electoral area,37448
5945801,Central Coast,Bella Bella 1,Indian reserve,15126
5945802,Central Coast,Bella Coola 1,Indian reserve,12300
5945803,Central Coast,Katit 1,Indian reserve,Null
5947012,Skeena-Queen Charlotte,Prince Rupert,City,28432
5947803,Skeena-Queen Charlotte,Masset 1,Indian reserve,14203
5947804,Skeena-Queen Charlotte,Skidegate 1,Indian reserve,17867
5947807,Skeena-Queen Charlotte,Dolphin Island 1,Indian reserve,10241
5949005,Kitimat-Stikine,Kitimat,District municipality,34038
5949011,Kitimat-Stikine,Terrace,City,30071
5949013,Kitimat-Stikine,Kitimat-Stikine C (Part 1),Regional district electoral area,32697
5949018,Kitimat-Stikine,Kitimat-Stikine E,Regional district electoral area,27662
5949022,Kitimat-Stikine,Hazelton,Village,Null
5949024,Kitimat-Stikine,New Hazelton,District municipality,22561
5949028,Kitimat-Stikine,Kitimat-Stikine B,Regional district electoral area,25822
5949802,Kitimat-Stikine,Kitasoo 1,Indian reserve,14805
5949803,Kitimat-Stikine,Kitamaat 2,Indian reserve,15441
5949807,Kitimat-Stikine,Kulspai 6,Indian reserve,Null
5949810,Kitimat-Stikine,Coryatsaqua (Moricetown) 2,Indian reserve,Null
5949811,Kitimat-Stikine,Hagwilget 1,Indian reserve,Null
5949812,Kitimat-Stikine,Gitanmaax 1,Indian reserve,14382
5949813,Kitimat-Stikine,Kispiox 1,Indian reserve,9824
5949816,Kitimat-Stikine,Gitwangak 1,Indian reserve,8286
5949817,Kitimat-Stikine,Moricetown 1,Indian reserve,15790
5949818,Kitimat-Stikine,Sik-e-dakh 2,Indian reserve,Null
5949819,Kitimat-Stikine,Babine 17,Indian reserve,Null
5949832,Kitimat-Stikine,Iskut 6,Indian reserve,Null
5949843,Kitimat-Stikine,Guhthe Tah 12,Indian reserve,Null
5949844,Kitimat-Stikine,Kitselas 1,Indian reserve,Null
5949845,Kitimat-Stikine,Dease Lake 9,Indian reserve,Null
5951007,Bulkley-Nechako,Vanderhoof,District municipality,29632
5951009,Bulkley-Nechako,Fraser Lake,Village,26896
5951013,Bulkley-Nechako,Fort St. James,District municipality,27145
5951015,Bulkley-Nechako,Bulkley-Nechako C,Regional district electoral area,31702
5951022,Bulkley-Nechako,Burns Lake,Village,24348
5951028,Bulkley-Nechako,Bulkley-Nechako B,Regional district electoral area,30881
5951031,Bulkley-Nechako,Bulkley-Nechako E,Regional district electoral area,27905
5951032,Bulkley-Nechako,Granisle,Village,20484
5951034,Bulkley-Nechako,Houston,District municipality,29999
5951038,Bulkley-Nechako,Telkwa,Village,32710
5951043,Bulkley-Nechako,Smithers,Town,30586
5951051,Bulkley-Nechako,Bulkley-Nechako A,Regional district electoral area,30497
5951053,Bulkley-Nechako,Bulkley-Nechako G,Regional district electoral area,28171
5951801,Bulkley-Nechako,Ye Koo Che 3,Indian reserve,Null
5951802,Bulkley-Nechako,Nautley (Fort Fraser) 1,Indian reserve,Null
5951803,Bulkley-Nechako,Nak'azdli (Necoslie 1),Indian reserve,15136
5951805,Bulkley-Nechako,Binche 2 (Pinchie 2),Indian reserve,Null
5951807,Bulkley-Nechako,Stellaquo (Stella) 1,Indian reserve,Null
5951809,Bulkley-Nechako,Stony Creek 1,Indian reserve,8196
5951810,Bulkley-Nechako,Tache 1,Indian reserve,8870
5951815,Bulkley-Nechako,Burns Lake 18,Indian reserve,Null
5951818,Bulkley-Nechako,Cheslatta 1,Indian reserve,Null
5951827,Bulkley-Nechako,Woyenne 27,Indian reserve,13106
5951828,Bulkley-Nechako,Babine  6,Indian reserve,Null
5951829,Bulkley-Nechako,Babine 25,Indian reserve,Null
5951848,Bulkley-Nechako,North Tacla Lake,Indian reserve,Null
5953007,Fraser-Fort George,Valemount,Village,20963
5953012,Fraser-Fort George,McBride,Village,18848
5953019,Fraser-Fort George,Fraser-Fort George H,Regional district electoral area,23820
5953023,Fraser-Fort George,Prince George,City,31192
5953033,Fraser-Fort George,Mackenzie,District municipality,31160
5953038,Fraser-Fort George,Fraser-Fort George A,Regional district electoral area,33168
5953042,Fraser-Fort George,Fraser-Fort George C,Regional district electoral area,36984
5953044,Fraser-Fort George,Fraser-Fort George D,Regional district electoral area,34261
5953048,Fraser-Fort George,Fraser-Fort George F,Regional district electoral area,32779
5953802,Fraser-Fort George,McLeod Lake 1,Indian reserve,Null
5955003,Peace River,Tumbler Ridge,District municipality,40586
5955010,Peace River,Chetwynd,District municipality,35798
5955014,Peace River,Dawson Creek,City,33490
5955021,Peace River,Peace River D,Regional district electoral area,34494
5955025,Peace River,Hudson's Hope,District municipality,26747
5955030,Peace River,Taylor,District municipality,31746
5955034,Peace River,Fort St. John,City,39549
5955040,Peace River,Peace River B,Regional district electoral area,38273
5955042,Peace River,Peace River C,Regional district electoral area,42221
5955801,Peace River,East Moberly Lake 169,Indian reserve,20893
5955802,Peace River,West Moberly Lake 168A,Indian reserve,Null
5955803,Peace River,Blueberry River 205,Indian reserve,Null
5955807,Peace River,Fort Ware 1,Indian reserve,11394
5955808,Peace River,Halfway River 168,Indian reserve,Null
5955812,Peace River,Ingenika Point,Indian settlement,Null
5957803,Stikine,Five Mile Point  3,Indian reserve,Null
5957813,Stikine,Lower Post,Indian settlement,Null
5957814,Stikine,Liard River 3,Indian reserve,Null
5959007,Northern Rockies,Northern Rockies,Regional municipality,40002
5959806,Northern Rockies,Fort Nelson 2,Indian reserve,17374
5959810,Northern Rockies,Prophet River 4,Indian reserve,Null
