CSDUID,Municipality,DevelopmentRegion,RegionalDistrict,Municipal_PTT_grp,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
5915022,Vancouver,Mainland/Southwest,METRO VANCOUVER,Vancouver,9982,9689,1,31,,191,2121,4592,54,2699,271,129,97,45,5,,17,14522952537,10205076.2,5038302.8,338719255.5,87254.01,725,1345272868,13249155.6,6799050,23984604.8
,,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,939,889,77,16,9,3,362,293,15,114,33,9,13,11,5,9,3,517006375,3794707.8,3029315,8554387.3,44203.3,,,,,
5931026,Lillooet,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,939,889,77,16,9,3,362,293,15,114,33,9,13,11,5,9,3,517006375,3794707.8,3029315,8554387.3,44203.3,,,,,
5931012,Pemberton,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,939,889,77,16,9,3,362,293,15,114,33,9,13,11,5,9,3,517006375,3794707.8,3029315,8554387.3,44203.3,,,,,
5931006,Squamish,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,939,889,77,16,9,3,362,293,15,114,33,9,13,11,5,9,3,517006375,3794707.8,3029315,8554387.3,44203.3,,,,,
5931999,Unincorporated Areas,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,939,889,77,16,9,3,362,293,15,114,33,9,13,11,5,9,3,517006375,3794707.8,3029315,8554387.3,44203.3,,,,,
5931020,Whistler,Mainland/Southwest,SQUAMISH-LILLOOET,Whistler,882,750,5,4,,5,158,371,171,36,40,,38,2,91,,1,654259086,5193529.9,3491400,12226514.1,54763,,,,,
5935010,Kelowna,Thompson/Okanagan,CENTRAL OKANAGAN,Kelowna,4346,4235,101,19,19,13,2122,1411,20,530,76,38,17,21,18,13,4,2307926249,3733394.3,2935550,37630660.4,42532.5,,,,,
,,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,1619,1589,51,7,15,8,1030,301,2,181,16,5,5,6,5,11,1,854217981,3678751,3136151,13591324.4,45038,,,,,
5935016,Lake Country,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,1619,1589,51,7,15,8,1030,301,2,181,16,5,5,6,5,11,1,854217981,3678751,3136151,13591324.4,45038,,,,,
5935018,Peachland,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,1620,1590,52,8,16,9,1031,302,2,182,17,5,5,7,6,12,1,854217982,3678752,3136152,13591325.4,45039,,,,,
5935029,West Kelowna,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,1621,1591,53,9,17,10,1032,303,2,183,18,5,5,8,7,13,1,854217983,3678753,3136153,13591326.4,45040,,,,,
5935999,Unincorporated Areas,Thompson/Okanagan,CENTRAL OKANAGAN,Rest of Central Okanagan,1622,1592,54,10,18,11,1033,304,2,184,19,5,5,9,8,14,1,854217984,3678754,3136154,13591327.4,45041,,,,,
,,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
5917015,Central Saanich,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
5917041,Colwood,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
5917049,Highlands,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
5917044,Langford,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
5917042,Metchosin,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
5917005,North Saanich,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
5917010,Sidney,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
5917052,Sooke,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
5917999,Unincorporated Areas,Vancouver Island/Coast,CAPITAL,Peninsula & Westshore,2082,2015,118,10,11,2,1123,377,6,368,56,7,24,25,1,4,6,1168472868,3966697,3249583.3,18168906.5,46630,,,,,
,,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",5811,5685,84,26,9,105,2658,2033,123,647,110,60,24,26,2,3,11,3734797890,4508576.1,3610500,64364299.8,55912.295,,,,,
5917040,Esquimalt,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",5811,5685,84,26,9,105,2658,2033,123,647,110,60,24,26,2,3,11,3734797890,4508576.1,3610500,64364299.8,55912.295,,,,,
5917030,Oak Bay,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",5811,5685,84,26,9,105,2658,2033,123,647,110,60,24,26,2,3,11,3734797890,4508576.1,3610500,64364299.8,55912.295,,,,,
5917021,Saanich,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",5811,5685,84,26,9,105,2658,2033,123,647,110,60,24,26,2,3,11,3734797890,4508576.1,3610500,64364299.8,55912.295,,,,,
5917034,Victoria,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",5811,5685,84,26,9,105,2658,2033,123,647,110,60,24,26,2,3,11,3734797890,4508576.1,3610500,64364299.8,55912.295,,,,,
5917047,View Royal,Vancouver Island/Coast,CAPITAL,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal",5811,5685,84,26,9,105,2658,2033,123,647,110,60,24,26,2,3,11,3734797890,4508576.1,3610500,64364299.8,55912.295,,,,,
5921007,Nanaimo,Vancouver Island/Coast,NANAIMO,Nanaimo,2844,2777,93,15,5,15,1666,520,77,386,46,26,8,12,11,2,8,1117509990,2748214.7,2401450.3,16450393.9,31670.06,,,,,
,,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,1482,1390,140,9,2,4,884,183,41,127,46,13,28,5,41,,5,621223988,2946250.2,2655238,9187644.6,35755.7,,,,,
5921008,Lantzville,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,1482,1390,140,9,2,4,884,183,41,127,46,13,28,5,41,,5,621223988,2946250.2,2655238,9187644.6,35755.7,,,,,
5921018,Parksville,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,1482,1390,140,9,2,4,884,183,41,127,46,13,28,5,41,,5,621223988,2946250.2,2655238,9187644.6,35755.7,,,,,
5921023,Qualicum Beach,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,1482,1390,140,9,2,4,884,183,41,127,46,13,28,5,41,,5,621223988,2946250.2,2655238,9187644.6,35755.7,,,,,
5921999,Unincorporated Areas,Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,1482,1390,140,9,2,4,884,183,41,127,46,13,28,5,41,,5,621223988,2946250.2,2655238,9187644.6,35755.7,,,,,
