Geo_Code,CSD_Name,CD_Name,CSD_type,Lat,Lon,Median value of dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),% of owner households spending 30% or more of household total income on shelter costs,% of tenant households spending 30% or more of household total income on shelter costs, % of tenant households in subsidized housing,"Car, truck or van - total",Public transit,Walked,Bicycle,Other methods,Median commuting duration,0 to 1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Owner,Renter,Band housing,Median after-tax household income,"Household total income Under $5,000","Household total income $5,000 to $9,999","Household total income $10,000 to $14,999","Household total income $15,000 to $19,999","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $50,000 to $59,999","Household total income $60,000 to $79,999","Household total income $80,000 to $99,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $150,000 and over",Private households Median household total income
5903045,Castlegar,Central Kootenay,City,49.30122989,-117.6718981,274954,866,632,15.2,42.7,16.1,2890,55,315,35,35,11,235,700,1305,1105,2630,720,0,49348,50,55,95,290,345,445,260,235,425,380,335,170,255,54279
5903050,Nakusp,Central Kootenay,Village,50.24995904,-117.7975537,250237,521,631,21.6,25.6,20.9,380,0,105,0,0,10.2,95,215,190,225,515,210,0,37235,0,0,55,45,155,110,90,45,95,55,30,0,25,39148
5903052,Central Kootenay H,Central Kootenay,Regional district electoral area,49.85292045,-117.5315863,300121,507,524,28.9,48.3,5.2,1470,50,40,0,30,25.6,290,620,775,325,1725,290,0,41275,95,150,90,250,145,210,210,175,325,210,95,35,0,41420
5903058,Central Kootenay J,Central Kootenay,Regional district electoral area,49.43319298,-117.9637721,297373,557,1041,9.7,41.7,0,1365,0,0,0,0,15.7,75,405,295,425,1085,125,0,61318,10,0,0,40,45,145,135,125,165,210,140,95,85,73289
5903807,Creston 1,Central Kootenay,Indian reserve,49.0571249,-116.5292701,0,0,0,Null,Null,0,25,0,0,0,0,5.5,0,0,20,10,15,0,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5905005,Fruitvale,Kootenay Boundary,Village,49.11079092,-117.5506685,240278,558,528,9.6,50,15.6,705,0,35,0,0,15.9,95,160,245,345,680,155,0,60017,45,20,70,35,80,35,50,25,140,55,130,70,75,63666
5905009,Montrose,Kootenay Boundary,Village,49.07794579,-117.5905652,269836,452,0,12.3,0,0,435,0,0,0,0,12.3,40,30,185,180,405,0,0,67988,0,0,0,0,30,20,25,30,70,60,50,35,65,78435
5905014,Trail,Kootenay Boundary,City,49.08953303,-117.7131748,200551,576,608,16.1,53.6,16.6,2545,40,310,0,10,10.5,560,1065,1320,735,2770,905,0,43719,35,130,250,235,405,530,285,280,455,390,315,150,205,48085
5905018,Warfield,Kootenay Boundary,Village,49.09459693,-117.7467284,250319,652,654,8.8,18.5,0,660,65,80,0,0,10.7,50,170,350,200,630,140,0,58459,0,20,0,0,80,35,65,65,125,140,60,65,65,67958
5905023,Rossland,Kootenay Boundary,City,49.12178638,-117.8464516,299936,754,701,17,40,0,1375,15,155,0,70,12.1,120,210,725,400,1205,255,0,64081,45,0,20,65,135,145,115,80,170,155,165,160,185,72610
5905026,Kootenay Boundary A,Kootenay Boundary,Regional district electoral area,49.10031026,-117.5828677,299657,668,662,10.1,27.8,0,680,0,40,0,10,19,0,105,315,290,625,95,0,63685,0,0,0,65,30,65,25,65,70,150,55,85,65,77644
5905032,Grand Forks,Kootenay Boundary,City,49.03066527,-118.4466388,240503,570,720,18.9,54.3,12.2,970,0,205,80,0,7.8,95,600,745,400,1430,405,0,40219,65,35,35,265,275,205,135,140,315,150,95,45,80,42380
5905037,Midway,Kootenay Boundary,Village,49.00887697,-118.7990369,219892,456,683,34,0,0,120,0,0,0,0,10.7,40,95,90,85,250,55,0,36354,25,0,30,0,45,40,35,50,0,30,0,0,0,37122
5907005,Osoyoos,Okanagan-Similkameen,Town,49.02630628,-119.4705437,375982,484,776,17.6,53.7,0,1160,20,260,0,35,10.7,105,765,870,515,1845,420,0,44516,45,40,45,130,260,350,285,220,340,195,120,145,80,49560
5907024,Princeton,Okanagan-Similkameen,Town,49.46354165,-120.5070402,250439,418,552,10.9,62.7,0,780,0,90,0,25,5.9,355,305,430,295,1010,375,0,39323,20,0,15,300,195,155,80,105,170,90,75,60,110,39406
5907035,Summerland,Okanagan-Similkameen,District municipality,49.61491997,-119.7044434,399691,541,907,18.6,44.5,12.9,3765,15,360,65,70,15.7,470,1555,1435,1295,3975,780,0,51445,45,85,155,330,550,630,405,355,565,605,380,240,395,56380
5907041,Penticton,Okanagan-Similkameen,City,49.49557397,-119.569818,349192,738,826,19.9,54.4,18.5,10655,160,1660,470,340,10.4,2635,5325,3940,3330,9730,5500,0,40994,465,335,475,1485,2100,1940,1790,1330,1900,1280,900,580,640,43998
5907047,Okanagan-Similkameen D,Okanagan-Similkameen,Regional district electoral area,49.37295218,-119.5347071,399428,694,742,19.9,40,16.1,2350,0,115,30,80,15.8,50,745,950,690,2270,165,0,52916,55,0,0,85,445,325,130,135,435,195,175,175,260,61773
5907051,Okanagan-Similkameen F,Okanagan-Similkameen,Regional district electoral area,49.61502629,-119.8728454,518734,982,1009,16.7,30,0,870,0,0,0,20,11,30,80,230,435,715,50,0,71520,0,0,0,20,70,85,60,35,100,80,75,75,155,80408
5907801,Lower Similkameen 2,Okanagan-Similkameen,Indian reserve,49.1180136,-119.7383549,0,0,0,Null,Null,0,15,0,0,0,0,17,0,0,0,10,10,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5907802,Osoyoos 1,Okanagan-Similkameen,Indian reserve,49.15056999,-119.4898125,0,0,0,0,0,0,205,0,0,0,0,10.7,10,130,95,35,245,20,10,36668,10,0,15,20,65,35,40,25,35,10,0,15,0,37405
5907803,Penticton 1,Okanagan-Similkameen,Indian reserve,49.47735232,-119.6847939,0,0,0,0,0,0,370,10,20,0,0,10.7,60,480,140,90,685,55,25,35427,25,25,30,50,150,155,75,80,85,50,20,0,15,36887
5907805,Chopaka 7 & 8,Okanagan-Similkameen,Indian reserve,49.03453818,-119.7207842,0,0,0,Null,Null,0,20,0,0,0,0,20.7,0,0,15,10,20,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5907807,Chuchuwayha 2,Okanagan-Similkameen,Indian reserve,49.35301237,-120.0780094,0,0,0,Null,Null,0,20,0,10,0,0,10.5,0,10,10,10,10,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5907809,Ashnola 10,Okanagan-Similkameen,Indian reserve,49.24014901,-120.0214755,0,0,0,Null,Null,0,10,0,0,0,0,30.5,0,0,0,10,15,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909009,Hope,Fraser Valley,District municipality,49.38000687,-121.4546514,285658,485,701,18,50,6.5,1820,0,230,30,35,10.5,240,725,910,755,2015,620,0,41421,65,105,125,195,360,345,255,340,270,270,110,85,115,44138
5909014,Fraser Valley A,Fraser Valley,Regional district electoral area,49.91430291,-121.6861602,110048,294,649,10,43.8,37.5,110,0,10,0,0,6.2,0,90,40,40,145,80,0,39172,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,41220
5909020,Chilliwack,Fraser Valley,City,49.1425914,-121.9294712,341274,1064,800,22.4,51.1,13.7,30410,475,1445,585,490,15.7,3300,7870,10150,9140,22760,7695,0,51584,880,445,1095,2130,2820,3335,2780,2565,4665,3565,2760,1605,1820,56513
5909027,Harrison Hot Springs,Fraser Valley,Village,49.29755341,-121.7839892,349743,966,832,25.7,52.4,0,355,0,50,0,0,20.1,30,220,300,115,560,100,0,48735,0,0,0,40,60,80,100,60,85,70,65,45,20,50670
5909032,Kent,Fraser Valley,District municipality,49.28164106,-121.7801657,324838,838,650,21.2,67.1,29,1715,0,160,30,30,15.5,190,415,890,550,1690,365,0,51189,100,90,100,145,185,170,175,115,380,250,165,80,100,57348
5909034,Fraser Valley D,Fraser Valley,Regional district electoral area,49.22155481,-121.6325769,429930,565,758,22.8,0,0,560,0,0,0,0,20.6,25,55,220,175,455,20,0,61606,0,0,0,0,0,100,10,60,100,75,75,0,15,71879
5909036,Fraser Valley E,Fraser Valley,Regional district electoral area,49.0682349,-121.6542366,376164,478,1002,24.3,25,0,1380,0,0,0,20,21,80,505,515,330,1265,160,0,48386,60,40,0,70,180,165,150,140,245,130,110,40,105,53045
5909052,Abbotsford,Fraser Valley,City,49.06916685,-122.2853586,393600,1204,801,24,39.2,9.4,54935,1135,1605,500,1055,15.9,5470,13180,11490,16310,34450,12005,0,56876,1195,680,1450,2230,3940,4630,4475,3600,6680,5380,4900,2860,4435,62350
5909056,Mission,Fraser Valley,District municipality,49.23191914,-122.3431669,399607,1453,751,30.5,44.1,16,15085,785,395,80,340,26,885,2180,4700,5015,10260,2530,0,59412,215,270,370,650,1130,1145,1015,925,1890,1885,1430,950,910,65411
5909060,Fraser Valley F,Fraser Valley,Regional district electoral area,49.57109594,-122.4816841,500500,653,1770,14.6,14.3,0,460,70,0,0,20,35.6,40,150,245,75,440,70,0,64233,0,0,0,20,20,30,35,60,215,55,30,10,0,73391
5909804,Chawathil 4,Fraser Valley,Indian reserve,49.37370817,-121.5427844,0,0,0,Null,Null,0,30,0,0,0,0,20.4,0,0,25,20,30,10,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909807,Ohamil 1,Fraser Valley,Indian reserve,49.33843237,-121.6060972,0,0,0,Null,Null,0,0,0,10,0,0,10.5,0,10,10,0,10,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909812,Schkam 2,Fraser Valley,Indian reserve,49.39618458,-121.4563837,0,0,0,Null,Null,0,20,0,0,0,0,10.7,0,10,20,10,10,0,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909819,Kahmoose 4,Fraser Valley,Indian reserve,49.96225713,-121.4850422,0,0,0,Null,Null,0,20,0,0,0,0,20.1,0,10,10,15,10,0,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909821,Kwawkwawapilt 6,Fraser Valley,Indian reserve,49.1638589,-121.9797089,0,0,0,0,0,0,50,0,0,0,0,10.1,0,155,25,0,195,0,0,33250,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,Null,Null,Null,35093
5909824,Skwah 4,Fraser Valley,Indian reserve,49.17553852,-121.9770677,0,0,0,Null,Null,0,50,0,0,0,0,15.5,10,15,20,15,50,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909826,Skway 5,Fraser Valley,Indian reserve,49.17023119,-121.9954436,0,0,0,Null,Null,0,15,0,0,0,0,15.9,0,10,10,15,15,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909827,Soowahlie 14,Fraser Valley,Indian reserve,49.08375339,-121.9567854,0,0,0,Null,Null,0,40,0,0,0,0,20.6,0,10,35,15,35,10,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909830,Tzeachten 13,Fraser Valley,Indian reserve,49.11318338,-121.9454186,0,0,0,0,0,0,245,0,0,0,10,15.8,40,445,135,55,640,35,10,43799,30,15,10,55,55,120,110,70,135,45,25,0,10,44834
5909832,Seabird Island,Fraser Valley,Indian reserve,49.27561837,-121.7103923,0,0,0,0,0,0,155,0,15,0,10,5.8,25,55,70,50,80,35,90,33806,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,33806
5909837,Cheam 1,Fraser Valley,Indian reserve,49.19722226,-121.7691781,0,0,0,Null,Null,0,40,0,10,0,0,11,0,15,20,25,35,15,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909839,Chehalis 5,Fraser Valley,Indian reserve,49.29512325,-121.9111652,0,0,0,0,0,0,165,0,10,0,0,8.1,10,25,90,60,150,25,15,38904,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,Null,Null,Null,39160
5909841,Stullawheets 8,Fraser Valley,Indian reserve,49.47094236,-121.4256676,0,0,0,Null,Null,0,10,0,0,0,0,15.3,0,10,10,0,15,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909845,Skookumchuck 4,Fraser Valley,Indian reserve,49.9439108,-122.4113713,0,0,0,Null,Null,0,10,0,10,0,0,10.2,0,10,15,0,15,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909875,Q'alatkÅ_7em,Fraser Valley,Indian reserve,50.05163422,-122.5390504,0,0,0,Null,Null,0,0,0,0,0,0,0,0,0,10,10,10,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909877,Upper Sumas 6,Fraser Valley,Indian reserve,49.05246945,-122.1944114,0,0,0,Null,Null,0,40,0,0,0,0,20.4,0,10,20,20,25,10,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909878,Matsqui Main 2,Fraser Valley,Indian reserve,49.10882768,-122.3512021,0,0,0,Null,Null,0,15,0,0,0,0,5.8,0,0,15,10,10,10,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909879,Holachten 8,Fraser Valley,Indian reserve,49.20774843,-122.0245057,0,0,0,0,0,0,95,0,0,0,0,35.6,0,50,65,15,105,15,10,37192,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,Null,Null,Null,38180
5909880,Lakahahmen 11,Fraser Valley,Indian reserve,49.18469802,-122.0763367,0,0,0,Null,Null,0,45,0,0,0,0,30.3,10,30,30,10,70,10,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909881,Skweahm 10,Fraser Valley,Indian reserve,49.17192995,-122.0835705,0,0,0,0,0,0,100,0,0,0,0,20.7,0,25,70,20,105,0,0,44160,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,Null,Null,Null,52079
5909882,Squawkum Creek 3,Fraser Valley,Indian reserve,49.24082283,-121.9997187,0,0,0,Null,Null,0,25,0,0,0,0,20.3,0,0,20,15,15,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909884,Skowkale,Fraser Valley,Indian reserve,49.13743428,-121.942794,0,0,0,0,0,0,190,0,0,0,0,15.3,80,125,85,55,320,15,15,40906,15,0,10,30,60,45,50,35,45,25,15,0,10,42884
5909885,Squiaala,Fraser Valley,Indian reserve,49.15673187,-121.985862,0,0,0,Null,Null,0,10,0,0,0,0,16,0,10,10,15,20,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5915001,Langley,Greater Vancouver,District municipality,49.09385978,-122.5720065,501361,1381,1001,24.8,40.7,8.1,45310,1740,1635,245,665,25.1,2485,7675,13310,13765,31545,5695,0,68007,890,510,695,1375,2175,3055,2680,2790,5385,4385,4790,3355,5165,76847
5915002,Langley,Greater Vancouver,City,49.09868987,-122.6597286,300696,1162,853,27,48.7,28,10585,570,615,85,135,22.5,2605,4410,2550,1745,7350,3960,0,46438,460,230,485,930,1030,1250,1245,845,1550,1315,885,540,545,50231
5915004,Surrey,Greater Vancouver,City,49.11675572,-122.7842792,500746,1391,794,27.3,37.7,11.3,176075,27040,5465,730,2410,30.2,18025,38135,45465,51225,111660,41185,0,61023,4505,2855,4140,6180,11495,12920,13030,12185,22375,18165,16085,10995,17910,67702
5915007,White Rock,Greater Vancouver,City,49.02576526,-122.805856,450494,850,891,24.9,45.1,10,6735,670,540,60,165,25.7,2350,4270,1740,1515,6725,3140,0,50840,245,180,380,625,1140,935,845,730,1630,905,905,430,905,56946
5915011,Delta,Greater Vancouver,District municipality,49.10009751,-123.0160129,562181,1196,864,20.3,37.2,13.7,38710,4870,1740,640,695,25.9,3175,5855,12080,13640,28140,6615,0,71590,575,490,610,1250,2045,2400,2440,2410,4930,4140,4355,3270,5840,80874
5915015,Richmond,Greater Vancouver,City,49.16296006,-123.1089735,601945,1047,1101,32,47.5,15.3,63790,15125,2930,1055,995,20.8,10385,17125,20860,19605,52420,15555,0,54597,3220,1700,2205,3145,6265,6270,5535,5400,9440,7270,6250,4020,7250,60479
5915020,Greater Vancouver A,Greater Vancouver,Regional district electoral area,49.45874586,-122.8518262,753578,1293,1226,41.3,68.6,14.9,1795,690,1190,295,80,20.6,1430,2240,685,690,2555,2495,0,34520,755,435,240,275,570,375,260,215,335,305,425,215,640,36089
5915022,Vancouver,Greater Vancouver,City,49.24862007,-123.1078317,752016,1119,1004,28.9,46,14,152120,88290,36960,12855,4570,20.9,107395,70095,36960,50115,128440,136135,0,50116,14115,6855,12250,16550,23885,23065,23490,19445,33690,25370,21650,13935,30270,56113
5915025,Burnaby,Greater Vancouver,City,49.24561785,-122.9652402,600941,1030,966,29.1,46.2,15.2,68000,29240,4490,750,1435,30.1,21135,26315,18075,21315,55125,31710,0,51123,4960,2055,2820,4925,8085,8135,7990,6790,11420,8820,7705,4895,8245,56136
5915029,New Westminster,Greater Vancouver,City,49.20808469,-122.9192862,400729,1338,830,27,44.1,14.7,21745,9725,1905,310,540,30.2,11610,10785,4390,3800,17210,13375,0,49135,1365,705,1225,1865,2765,2955,3125,2635,4410,3120,2420,1655,2335,54664
5915034,Coquitlam,Greater Vancouver,City,49.2973237,-122.7714996,599465,1310,949,27.5,48.2,11.3,46275,10215,2075,290,780,30.4,6895,10665,12365,15635,33880,11675,0,60737,1670,1120,1215,1970,3535,3715,3615,3335,6000,5010,5000,3270,6090,67787
5915036,Belcarra,Greater Vancouver,Village,49.32774062,-122.8997847,1393995,1306,687,26,0,0,290,0,0,0,0,30.8,0,30,115,115,245,20,0,125515,0,0,0,0,10,0,15,0,20,35,20,45,105,139673
5915038,Anmore,Greater Vancouver,Village,49.34482492,-122.8496989,1102094,1949,1604,27,0,0,810,125,15,0,0,30.3,15,50,160,400,575,55,0,114113,0,0,0,0,0,30,20,50,55,80,30,30,310,145286
5915039,Port Coquitlam,Greater Vancouver,City,49.253342,-122.7619225,489678,1426,913,25.7,43.9,19.9,23410,3620,1055,195,330,30.6,2550,4710,7060,6335,16125,4520,0,64463,480,470,500,630,1385,1460,1815,1715,2795,2805,2475,1655,2460,72563
5915043,Port Moody,Greater Vancouver,City,49.29794439,-122.8700103,539932,1529,1281,25.1,40.7,11.3,12845,2620,315,100,255,30.6,1325,3740,4305,3265,9715,2920,0,69042,375,230,210,390,635,805,970,875,1825,1535,1530,1150,2095,79918
5915046,North Vancouver,Greater Vancouver,District municipality,49.3640889,-123.0066264,850744,1195,1203,25.2,42,15.9,29990,5765,1390,835,675,20.7,3195,5845,9115,12395,24765,5790,0,76556,575,440,595,1070,1805,1835,1785,2080,3750,3310,3400,2695,7215,87322
5915051,North Vancouver,Greater Vancouver,City,49.32020259,-123.0699284,599985,1209,1017,26.9,43.4,10.8,15960,5860,2940,525,365,20.5,8620,7260,4120,2790,12390,10400,0,52794,860,405,770,1225,1945,2210,2340,1770,3275,2210,2275,1190,2320,59373
5915055,West Vancouver,Greater Vancouver,District municipality,49.36845788,-123.1930074,1299894,988,1284,26,54.5,11.6,11020,1950,755,250,290,20.7,2655,3725,4045,6650,13465,3615,0,73213,460,305,385,925,1115,1220,1195,955,1610,1410,1250,1150,5095,84345
5915065,Lions Bay,Greater Vancouver,Village,49.46263268,-123.2356927,1001342,1446,773,21.8,23.1,0,465,100,0,0,0,31,25,45,215,215,430,65,0,94106,0,0,0,0,0,20,25,25,35,95,95,80,115,106970
5915070,Pitt Meadows,Greater Vancouver,City,49.27196502,-122.6637759,459965,1411,922,28,34.9,16.4,7415,1195,320,40,105,30.2,555,1740,2685,1735,5250,1470,0,65934,185,90,130,335,390,585,505,520,980,790,850,650,705,73065
5915075,Maple Ridge,Greater Vancouver,District municipality,49.26224519,-122.5161393,449365,1500,868,27.1,45.1,15.7,31555,3475,1215,195,320,30.5,2610,5880,9875,9675,22590,5450,0,63231,685,430,690,1405,1745,2055,2225,2140,4415,3465,3535,2205,3040,71078
5915801,Semiahmoo,Greater Vancouver,Indian reserve,49.01262103,-122.7684457,0,0,0,Null,Null,0,40,0,0,0,0,30.1,20,30,15,0,60,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5915802,Tsawwassen,Greater Vancouver,Indian reserve,49.0436288,-123.0985053,0,0,0,0,0,0,220,0,25,15,0,20.4,30,75,95,95,265,20,10,52506,10,20,15,0,25,10,45,15,20,15,25,0,65,56945
5915803,Musqueam 2,Greater Vancouver,Indian reserve,49.22944925,-123.2074415,0,0,0,0,0,0,395,70,95,30,0,15.9,10,80,230,240,390,135,30,55025,40,30,15,35,50,45,45,20,45,25,55,35,115,58935
5915806,Burrard Inlet 3,Greater Vancouver,Indian reserve,49.30934696,-122.9788347,0,0,0,0,0,0,630,75,45,25,0,20.8,205,405,75,45,535,190,0,61198,0,40,0,0,65,90,40,55,115,95,90,30,90,69201
5915807,Mission 1,Greater Vancouver,Indian reserve,49.31660441,-123.088073,0,0,0,0,0,0,130,55,25,0,0,15.8,0,40,50,80,80,10,75,36625,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,36881
5915808,Capilano 5,Greater Vancouver,Indian reserve,49.32161028,-123.1319111,0,0,0,0,0,0,540,300,155,10,0,20,730,320,135,125,210,930,170,31046,110,70,110,165,145,160,140,90,100,75,65,20,45,32752
5915811,Seymour Creek 2,Greater Vancouver,Indian reserve,49.30559546,-123.0251579,0,0,0,Null,Null,0,25,0,0,0,0,15.7,0,10,0,15,0,0,20,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5915816,McMillan Island 6,Greater Vancouver,Indian reserve,49.17493291,-122.5651035,0,0,0,Null,Null,0,15,0,0,0,0,40.8,0,0,10,10,25,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
