trans_period	DevelopmentRegion	RegionalDistrict	Municipal_PTT_grp	CSDUID	Municipality	no_mkt_trans	no_resid_trans	no_resid_acreage_trans	resid_comm_count	no_resid_farm	no_resid_fam	no_res_1fam	no_resid_strata	no_resid_non_strata	no_resid_other	no_comm_tot	no_comm_comm	no_comm_strata_nores	no_comm_other	no_recr_tot	no_farm_tot	no_unkn_tot	sum_FMV	mn_FMV	md_FMV	sum_PPT_paid	md_PPT	no_foreign	sum_FMV_foreign	mn_FMV_foreign	md_FMV_foreign	add_tax_paid
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915065	Lions Bay	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915075	Maple Ridge	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915029	New Westminster	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915051	"North Vancouver, City of"	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915046	"North Vancouver, District Municipality"	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915070	Pitt Meadows	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915039	Port Coquitlam	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915043	Port Moody	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915055	West Vancouver	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915007	White Rock	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915999	Unincorporated Areas	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Richmond	5915015	Richmond	818	801	1	1		5	83	192	4	515	17	1	10	6				566872020	692997.6	452985.8	14192183.2	6024	54	38400433	711119.1	501400	5141953.8
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Surrey	5915004	Surrey	972	953	4	3	2		257	339	7	341	18	5	3	10			1	643488241	662024.9	462245	11621448.3	6900	9	5957661	661962.3	542900	432586.3
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Vancouver	5915022	Vancouver	966	935		2		19	115	391	5	403	26	4	11	11	1		4	1043145985	1079861.3	635000	23673569.8	10580	26	28900000	1111538.5	693950	3178222.4
2016-10-01	Mainland/Southwest	SQUAMISH-LILLOOET	Rest of Squamish-Lillooet			108	102	15	3	1		32	22		29	6	1	1	4				50082759	463729.2	404450	770610.7	5450					
2016-10-01	Mainland/Southwest	SQUAMISH-LILLOOET	Rest of Squamish-Lillooet	5931026	Lillooet	108	102	15	3	1		32	22		29	6	1	1	4				50082759	463729.2	404450	770610.7	5450					
2016-10-01	Mainland/Southwest	SQUAMISH-LILLOOET	Rest of Squamish-Lillooet	5931012	Pemberton	108	102	15	3	1		32	22		29	6	1	1	4				50082759	463729.2	404450	770610.7	5450					
2016-10-01	Mainland/Southwest	SQUAMISH-LILLOOET	Rest of Squamish-Lillooet	5931006	Squamish	108	102	15	3	1		32	22		29	6	1	1	4				50082759	463729.2	404450	770610.7	5450					
2016-10-01	Mainland/Southwest	SQUAMISH-LILLOOET	Rest of Squamish-Lillooet	5931999	Unincorporated Areas	108	102	15	3	1		32	22		29	6	1	1	4				50082759	463729.2	404450	770610.7	5450					
2016-10-01	Mainland/Southwest	SQUAMISH-LILLOOET	Whistler	5931020	Whistler	128	115	1	2			23	46	26	17					13			87122049	680641	475000	1571365.4	7500					
2016-10-01	Thompson/Okanagan	CENTRAL OKANAGAN	Kelowna	5935010	Kelowna	519	503	14		7		198	136	2	146	11	5		6	3	2		291949866	562523.8	441900	4935211.8	6680					
2016-10-01	Thompson/Okanagan	CENTRAL OKANAGAN	Rest of Central Okanagan			197	194	8		1	1	105	29	1	49	1		1			2		100706750	511201.8	465000	1539524	6798					
2016-10-01	Thompson/Okanagan	CENTRAL OKANAGAN	Rest of Central Okanagan	5935016	Lake Country	197	194	8		1	1	105	29	1	49	1		1			2		100706750	511201.8	465000	1539524	6798					
2016-10-01	Thompson/Okanagan	CENTRAL OKANAGAN	Rest of Central Okanagan	5935018	Peachland	197	194	8		1	1	105	29	1	49	1		1			2		100706750	511201.8	465000	1539524	6798					
2016-10-01	Thompson/Okanagan	CENTRAL OKANAGAN	Rest of Central Okanagan	5935029	West Kelowna	197	194	8		1	1	105	29	1	49	1		1			2		100706750	511201.8	465000	1539524	6798					
2016-10-01	Thompson/Okanagan	CENTRAL OKANAGAN	Rest of Central Okanagan	5935999	Unincorporated Areas	197	194	8		1	1	105	29	1	49	1		1			2		100706750	511201.8	465000	1539524	6798					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore			271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore	5917015	Central Saanich	271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore	5917041	Colwood	271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore	5917049	Highlands	271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore	5917044	Langford	271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore	5917042	Metchosin	271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore	5917005	North Saanich	271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore	5917010	Sidney	271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore	5917052	Sooke	271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	Peninsula & Westshore	5917999	Unincorporated Areas	271	265	20				96	32	1	116	5	2		3			1	159982117	590339.9	475000	2343369.8	6300					
2016-10-01	Vancouver Island/Coast	CAPITAL	"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"			636	614	6	4	1	8	217	157	2	219	17	13		4	1		4	418826051	658531.5	550000	7068544.2	8326.335					
2016-10-01	Vancouver Island/Coast	CAPITAL	"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"	5917040	Esquimalt	636	614	6	4	1	8	217	157	2	219	17	13		4	1		4	418826051	658531.5	550000	7068544.2	8326.335					
2016-10-01	Vancouver Island/Coast	CAPITAL	"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"	5917030	Oak Bay	636	614	6	4	1	8	217	157	2	219	17	13		4	1		4	418826051	658531.5	550000	7068544.2	8326.335					
2016-10-01	Vancouver Island/Coast	CAPITAL	"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"	5917021	Saanich	636	614	6	4	1	8	217	157	2	219	17	13		4	1		4	418826051	658531.5	550000	7068544.2	8326.335					
2016-10-01	Vancouver Island/Coast	CAPITAL	"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"	5917034	Victoria	636	614	6	4	1	8	217	157	2	219	17	13		4	1		4	418826051	658531.5	550000	7068544.2	8326.335					
2016-10-01	Vancouver Island/Coast	CAPITAL	"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"	5917047	View Royal	636	614	6	4	1	8	217	157	2	219	17	13		4	1		4	418826051	658531.5	550000	7068544.2	8326.335					
2016-10-01	Vancouver Island/Coast	NANAIMO	Nanaimo	5921007	Nanaimo	387	378	20	1		1	169	55		132	7	1	1	5	2			152168020	393199	358000	2165106.2	4700					
2016-10-01	Vancouver Island/Coast	NANAIMO	Rest of Nanaimo RD			164	161	13				80	14	3	51	1			1	2			67416931	411078.8	389500	933367.8	5145.7					
2016-10-01	Vancouver Island/Coast	NANAIMO	Rest of Nanaimo RD	5921008	Lantzville	164	161	13				80	14	3	51	1			1	2			67416931	411078.8	389500	933367.8	5145.7					
2016-10-01	Vancouver Island/Coast	NANAIMO	Rest of Nanaimo RD	5921018	Parksville	164	161	13				80	14	3	51	1			1	2			67416931	411078.8	389500	933367.8	5145.7					
2016-10-01	Vancouver Island/Coast	NANAIMO	Rest of Nanaimo RD	5921023	Qualicum Beach	164	161	13				80	14	3	51	1			1	2			67416931	411078.8	389500	933367.8	5145.7					
2016-10-01	Vancouver Island/Coast	NANAIMO	Rest of Nanaimo RD	5921999	Unincorporated Areas	164	161	13				80	14	3	51	1			1	2			67416931	411078.8	389500	933367.8	5145.7					
