trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-11-22,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,132,119,19,1,2,1,55,28,1,12,8,7,,1,4,1,,51213458,387980.7,290348.8,803157.32,3170
2016-11-01,Thompson/Okanagan,THOMPSON-NICOLA,63,59,7,,2,,45,4,,1,3,2,1,,,,1,27900725,442868.7,332000,465538.7,4600
2016-11-08,Thompson/Okanagan,THOMPSON-NICOLA,68,64,10,1,1,,40,7,2,3,2,2,,,1,1,,22672867,333424.5,340000,291510.43,4360
2016-11-15,Thompson/Okanagan,THOMPSON-NICOLA,77,71,5,,2,,53,8,1,2,5,5,,,1,,,27396188,355794.6,335000,355742,3900
2016-11-22,Thompson/Okanagan,THOMPSON-NICOLA,114,98,10,,,,66,18,1,3,6,1,5,,2,7,1,40457503,354890.4,314200,549418.72,4040
2016-11-01,Unknown/Rural,RURAL-UNKNOWN,79,64,15,3,3,,36,4,1,2,1,1,,,8,3,3,27829152,352267.8,300000,425729.09,3880
2016-11-08,Unknown/Rural,RURAL-UNKNOWN,59,51,10,,2,,32,3,1,3,2,2,,,4,2,,20217851,342675.4,270000,336935.51,3400
2016-11-15,Unknown/Rural,RURAL-UNKNOWN,80,70,21,1,2,,39,5,,2,2,2,,,5,2,1,27060585,338257.3,265000,419143.86,3000
2016-11-22,Unknown/Rural,RURAL-UNKNOWN,195,139,30,,2,,70,13,,24,29,,24,5,8,3,16,63640742,326362.8,250000,986577.23,2920
2016-11-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,34,32,6,,,1,16,4,,5,2,2,,,,,,12943923,380703.6,278750,200844.23,3415
2016-11-08,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,17,17,1,,1,1,9,1,4,,,,,,,,,4222650,248391.2,240000,52958,2800
2016-11-15,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,27,25,4,,,,16,2,3,,2,2,,,,,,6199770,229621.1,175000,77440.58,1650
2016-11-22,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,41,40,4,,1,,31,2,,2,,,,,1,,,10126200,246980.5,215000,136071,2300
2016-11-01,Vancouver Island/Coast,CAPITAL,208,190,13,,1,5,85,61,2,23,18,,6,12,,,,120240762,578080.6,441250,2007412.48,6500
2016-11-08,Vancouver Island/Coast,CAPITAL,88,85,4,,,,43,27,,11,2,2,,,,,1,54887053,623716.5,483000,921066.36,7660
2016-11-15,Vancouver Island/Coast,CAPITAL,196,194,8,1,,3,107,70,1,4,2,,2,,,,,109269742,557498.7,499900,1741139.42,7600
2016-11-22,Vancouver Island/Coast,CAPITAL,387,379,9,5,2,9,196,121,8,29,7,4,2,1,,,1,257571537,665559.5,525000,4460739.1,8000
2016-11-01,Vancouver Island/Coast,COMOX VALLEY,39,39,3,,,,27,4,2,3,,,,,,,,14327877,367381.5,400000,197097.96,5160
2016-11-08,Vancouver Island/Coast,COMOX VALLEY,26,26,1,,,,20,4,,1,,,,,,,,8522657,327794.5,329500,119724.81,4590
2016-11-15,Vancouver Island/Coast,COMOX VALLEY,29,26,1,1,,,17,5,,2,,,,,1,,2,12645429,436049.3,288931,174476.2,2938
2016-11-22,Vancouver Island/Coast,COMOX VALLEY,78,75,6,1,,,43,18,,7,2,2,,,1,,,29541845,378741.6,350000,392096.14,4468
2016-11-01,Vancouver Island/Coast,COWICHAN VALLEY,40,38,1,2,,,27,6,,2,1,,1,,,,1,14116349,352908.7,335000,190097.17,4377.3
2016-11-08,Vancouver Island/Coast,COWICHAN VALLEY,26,25,4,,1,,18,1,,1,1,1,,,,,,9102350,350090.4,294950,130475,3899
2016-11-15,Vancouver Island/Coast,COWICHAN VALLEY,40,39,6,,,,21,11,,1,,,,,1,,,13911133,347778.3,334000,167849.65,3565
2016-11-22,Vancouver Island/Coast,COWICHAN VALLEY,53,51,5,,,1,38,6,,1,1,1,,,,1,,18165167,342739,350000,224975,4200
2016-11-01,Vancouver Island/Coast,NANAIMO,91,87,6,1,,1,54,17,1,7,3,3,,,1,,,35891744,394414.8,369900,536384.4,5198.01
2016-11-08,Vancouver Island/Coast,NANAIMO,64,62,5,,,,37,10,,10,1,1,,,,1,,29854079,466470,377450,451847.65,5020
2016-11-15,Vancouver Island/Coast,NANAIMO,113,107,3,2,,,77,16,1,8,2,1,1,,3,,1,50034344,442781.8,362500,743142.25,4700
2016-11-22,Vancouver Island/Coast,NANAIMO,193,191,11,3,,2,116,35,1,23,2,,1,1,,,,84241458,436484.2,365000,1258627.09,4920
2016-11-01,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,12,12,1,,,,9,1,,1,,,,,,,,3594800,299566.7,263500,46294,2770
2016-11-08,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,10,10,1,,,,7,2,,,,,,,,,,1581950,158195,131250,19149.5,1312.5
2016-11-15,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,11,11,2,1,,,7,1,,,,,,,,,,3864100,351281.8,200000,60581,2000
2016-11-22,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,24,23,1,,,1,20,1,,,1,1,,,,,,13001047,541710.3,391950,224981.94,5750
2016-11-01,Vancouver Island/Coast,STRATHCONA,34,34,,2,,2,23,5,,2,,,,,,,,9718375,285834.6,250000,120642.75,2200
2016-11-08,Vancouver Island/Coast,STRATHCONA,18,15,,1,,,12,1,,1,3,3,,,,,,8986320,499240,336250,155406.4,4725
2016-11-15,Vancouver Island/Coast,STRATHCONA,17,17,,1,,,14,2,,,,,,,,,,5649305,332312.1,329900,55632.1,3800
2016-11-22,Vancouver Island/Coast,STRATHCONA,55,54,3,,,1,38,7,,5,1,1,,,,,,18365400,333916.4,286900,255861.5,3598
